backbone,model,eval_mode,pooling,embed_dim,5way_acc,5way_acc_lo,5way_acc_hi,5way_f1,5way_f1_lo,5way_f1_hi,5way_auc,5way_auc_lo,5way_auc_hi,bin_acc,bin_acc_lo,bin_acc_hi,bin_f1,bin_f1_lo,bin_f1_hi,bin_sens,bin_sens_lo,bin_sens_hi,bin_spec,bin_spec_lo,bin_spec_hi,bin_auc,bin_auc_lo,bin_auc_hi
dinov3,dinov3_vits16,ft-frozen,gap,384,0.4800,0.3595,0.6005,0.4735,0.3288,0.5920,0.8360,0.7498,0.9055,0.7800,0.6600,0.8800,0.8642,0.7760,0.9318,0.8750,0.7692,0.9744,0.4000,0.1247,0.7000,0.7425,0.5536,0.8940
dinov3,dinov3_vits16,ft-full,cls,384,0.5200,0.3800,0.6600,0.5178,0.3851,0.6129,0.8125,0.7520,0.8697,0.7200,0.6000,0.8400,0.8205,0.7297,0.9048,0.8000,0.7073,0.9074,0.4000,0.1424,0.7004,0.7200,0.6042,0.8603
dinov3,dinov3_vits16,ft-full,gap,384,0.2600,0.1595,0.4200,0.1879,0.0899,0.2718,0.6385,0.5422,0.7140,0.8000,0.6600,0.9200,0.8889,0.7952,0.9583,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5550,0.3893,0.7675
dinov3,dinov3_vits16,logreg,cls,384,0.5000,0.3800,0.6405,0.4976,0.3563,0.6154,0.8275,0.7327,0.9022,0.7600,0.6400,0.8600,0.8537,0.7692,0.9213,0.8750,0.7727,0.9744,0.3000,0.0000,0.6006,0.7500,0.5405,0.8971
dinov3,dinov3_vits16,logreg,gap,384,0.4800,0.3200,0.6205,0.4760,0.2933,0.6103,0.8280,0.7492,0.8969,0.7600,0.6000,0.8600,0.8500,0.7323,0.9195,0.8500,0.7220,0.9500,0.4000,0.0998,0.7507,0.7375,0.4986,0.9129
sam,sam_vit_base,ft-frozen,gap,768,0.5800,0.4400,0.7005,0.5831,0.4216,0.7142,0.8605,0.7853,0.9314,0.8600,0.7595,0.9400,0.9157,0.8498,0.9639,0.9500,0.8856,1.0000,0.5000,0.1992,0.7792,0.8500,0.7082,0.9506
sam,sam_vit_base,ft-full,gap,768,0.4600,0.3400,0.6000,0.4564,0.3362,0.5931,0.7580,0.6788,0.8447,0.7400,0.6395,0.8600,0.8267,0.7273,0.9167,0.7750,0.6279,0.9049,0.6000,0.2994,0.8892,0.7837,0.6649,0.8861
sam,sam_vit_base,logreg,gap,768,0.5600,0.4200,0.6800,0.5566,0.3970,0.6729,0.8605,0.7856,0.9245,0.8400,0.7400,0.9200,0.9048,0.8420,0.9565,0.9500,0.8571,1.0000,0.4000,0.1247,0.6667,0.8675,0.7560,0.9546
sam,sam_vit_huge,ft-frozen,gap,1280,0.5600,0.4000,0.7000,0.5457,0.3780,0.6685,0.8195,0.7463,0.9081,0.8400,0.7400,0.9200,0.9070,0.8421,0.9565,0.9750,0.9428,1.0000,0.3000,0.0750,0.6253,0.7850,0.6248,0.9376
sam,sam_vit_huge,logreg,gap,1280,0.5400,0.4200,0.7000,0.5299,0.3913,0.6809,0.8200,0.7291,0.9011,0.8000,0.6800,0.9000,0.8810,0.7999,0.9412,0.9250,0.8378,0.9783,0.3000,0.0000,0.5717,0.7825,0.6367,0.9138
sam,sam_vit_large,ft-frozen,gap,1024,0.5400,0.3995,0.6800,0.5168,0.3596,0.6389,0.8405,0.7503,0.9236,0.8000,0.7000,0.9000,0.8837,0.8147,0.9451,0.9500,0.8809,1.0000,0.2000,0.0000,0.4545,0.8125,0.6756,0.9269
sam,sam_vit_large,logreg,gap,1024,0.4800,0.3595,0.6400,0.4464,0.3030,0.5860,0.8255,0.7318,0.8966,0.7800,0.6600,0.8800,0.8736,0.7847,0.9362,0.9500,0.8716,1.0000,0.1000,0.0000,0.3333,0.7975,0.6476,0.9017
