,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,1.0,0.684,0.032,0.12,0.078,0.196,0.014,0.104,0.182,0.01,0.006,0.002,0.01,0.03,0.032,0.018,0.014,0.248,0.288,0.1,0.02,0.014
cinema_pretrained_ft-frozen_gap,0.684,1.0,0.362,0.074,0.142,0.304,0.024,0.186,0.256,0.012,0.014,0.008,0.012,0.02,0.034,0.008,0.022,0.33,0.292,0.096,0.026,0.008
cinema_pretrained_logreg_cls,0.032,0.362,1.0,0.86,0.526,0.828,0.19,0.658,0.914,0.132,0.134,0.106,0.142,0.27,0.356,0.18,0.232,0.956,0.964,0.578,0.234,0.116
cinema_pretrained_logreg_gap,0.12,0.074,0.86,1.0,0.558,0.96,0.192,0.748,0.972,0.202,0.166,0.166,0.148,0.284,0.402,0.166,0.256,0.854,0.97,0.594,0.222,0.104
dinov3_vitb16_ft-frozen_cls,0.078,0.142,0.526,0.558,1.0,0.322,0.038,0.614,0.404,0.388,0.198,0.224,0.222,0.612,0.808,0.432,0.58,0.332,0.41,0.838,0.506,0.262
dinov3_vitb16_ft-frozen_gap,0.196,0.304,0.828,0.96,0.322,1.0,0.026,0.402,0.936,0.116,0.006,0.064,0.006,0.19,0.298,0.116,0.05,0.772,0.874,0.546,0.122,0.034
dinov3_vitb16_logreg_cls,0.014,0.024,0.19,0.192,0.038,0.026,1.0,0.082,0.048,0.77,0.882,0.998,0.878,0.614,0.38,0.856,0.564,0.044,0.086,0.208,0.732,0.87
dinov3_vitb16_logreg_gap,0.104,0.186,0.658,0.748,0.614,0.402,0.082,1.0,0.646,0.214,0.016,0.112,0.03,0.342,0.51,0.234,0.218,0.522,0.62,0.858,0.226,0.094
dinov3_vitl16_ft-frozen_cls,0.182,0.256,0.914,0.972,0.404,0.936,0.048,0.646,1.0,0.016,0.001,0.002,0.042,0.132,0.216,0.058,0.11,0.772,0.93,0.492,0.104,0.044
dinov3_vitl16_ft-frozen_gap,0.01,0.012,0.132,0.202,0.388,0.116,0.77,0.214,0.016,1.0,0.864,0.41,0.732,0.828,0.53,0.876,0.802,0.048,0.12,0.296,0.95,0.646
dinov3_vitl16_logreg_cls,0.006,0.014,0.134,0.166,0.198,0.006,0.882,0.016,0.001,0.864,1.0,0.902,0.764,0.658,0.426,0.948,0.584,0.014,0.022,0.178,0.78,0.706
dinov3_vitl16_logreg_gap,0.002,0.008,0.106,0.166,0.224,0.064,0.998,0.112,0.002,0.41,0.902,1.0,0.904,0.648,0.376,0.89,0.626,0.014,0.072,0.194,0.77,0.832
dinov3_vits16_ft-frozen_cls,0.01,0.012,0.142,0.148,0.222,0.006,0.878,0.03,0.042,0.732,0.764,0.904,1.0,0.458,0.202,0.768,0.394,0.012,0.042,0.184,0.574,0.856
dinov3_vits16_ft-frozen_gap,0.03,0.02,0.27,0.284,0.612,0.19,0.614,0.342,0.132,0.828,0.658,0.648,0.458,1.0,0.586,0.418,0.992,0.054,0.17,0.448,0.85,0.386
dinov3_vits16_logreg_cls,0.032,0.034,0.356,0.402,0.808,0.298,0.38,0.51,0.216,0.53,0.426,0.376,0.202,0.586,1.0,0.294,0.742,0.126,0.308,0.704,0.616,0.298
dinov3_vits16_logreg_gap,0.018,0.008,0.18,0.166,0.432,0.116,0.856,0.234,0.058,0.876,0.948,0.89,0.768,0.418,0.294,1.0,0.732,0.024,0.07,0.268,0.844,0.686
sam_vit_base_ft-frozen_gap,0.014,0.022,0.232,0.256,0.58,0.05,0.564,0.218,0.11,0.802,0.584,0.626,0.394,0.992,0.742,0.732,1.0,0.04,0.074,0.326,0.806,0.3
sam_vit_base_logreg_gap,0.248,0.33,0.956,0.854,0.332,0.772,0.044,0.522,0.772,0.048,0.014,0.014,0.012,0.054,0.126,0.024,0.04,1.0,0.85,0.338,0.042,0.016
sam_vit_huge_ft-frozen_gap,0.288,0.292,0.964,0.97,0.41,0.874,0.086,0.62,0.93,0.12,0.022,0.072,0.042,0.17,0.308,0.07,0.074,0.85,1.0,0.188,0.076,0.024
sam_vit_huge_logreg_gap,0.1,0.096,0.578,0.594,0.838,0.546,0.208,0.858,0.492,0.296,0.178,0.194,0.184,0.448,0.704,0.268,0.326,0.338,0.188,1.0,0.312,0.146
sam_vit_large_ft-frozen_gap,0.02,0.026,0.234,0.222,0.506,0.122,0.732,0.226,0.104,0.95,0.78,0.77,0.574,0.85,0.616,0.844,0.806,0.042,0.076,0.312,1.0,0.194
sam_vit_large_logreg_gap,0.014,0.008,0.116,0.104,0.262,0.034,0.87,0.094,0.044,0.646,0.706,0.832,0.856,0.386,0.298,0.686,0.3,0.016,0.024,0.146,0.194,1.0
