,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,,"mean=-0.0158,ci95=[-0.0958,+0.0689]","mean=-0.0550,ci95=[-0.1123,-0.0059]","mean=-0.0601,ci95=[-0.1362,+0.0139]","mean=-0.0937,ci95=[-0.1974,+0.0104]","mean=-0.0647,ci95=[-0.1600,+0.0284]","mean=-0.1366,ci95=[-0.2371,-0.0232]","mean=-0.0778,ci95=[-0.1663,+0.0163]","mean=-0.0618,ci95=[-0.1522,+0.0264]","mean=-0.1250,ci95=[-0.2166,-0.0286]","mean=-0.1312,ci95=[-0.2197,-0.0417]","mean=-0.1360,ci95=[-0.2248,-0.0403]","mean=-0.1404,ci95=[-0.2506,-0.0336]","mean=-0.1152,ci95=[-0.2092,-0.0145]","mean=-0.1022,ci95=[-0.1966,-0.0055]","mean=-0.1289,ci95=[-0.2223,-0.0264]","mean=-0.1155,ci95=[-0.2187,-0.0207]","mean=-0.0518,ci95=[-0.1348,+0.0402]","mean=-0.0585,ci95=[-0.1573,+0.0436]","mean=-0.0858,ci95=[-0.1859,+0.0199]","mean=-0.1221,ci95=[-0.2287,-0.0187]","mean=-0.1455,ci95=[-0.2534,-0.0324]"
cinema_pretrained_ft-frozen_gap,"mean=+0.0158,ci95=[-0.0689,+0.0958]",,"mean=-0.0393,ci95=[-0.1258,+0.0416]","mean=-0.0443,ci95=[-0.0986,+0.0032]","mean=-0.0779,ci95=[-0.1794,+0.0328]","mean=-0.0490,ci95=[-0.1454,+0.0413]","mean=-0.1208,ci95=[-0.2164,-0.0110]","mean=-0.0620,ci95=[-0.1589,+0.0315]","mean=-0.0460,ci95=[-0.1279,+0.0380]","mean=-0.1092,ci95=[-0.1945,-0.0219]","mean=-0.1154,ci95=[-0.2012,-0.0305]","mean=-0.1202,ci95=[-0.2124,-0.0276]","mean=-0.1246,ci95=[-0.2158,-0.0290]","mean=-0.0995,ci95=[-0.1825,-0.0150]","mean=-0.0864,ci95=[-0.1697,-0.0062]","mean=-0.1131,ci95=[-0.1940,-0.0307]","mean=-0.0997,ci95=[-0.1861,-0.0155]","mean=-0.0360,ci95=[-0.1108,+0.0398]","mean=-0.0427,ci95=[-0.1276,+0.0402]","mean=-0.0700,ci95=[-0.1602,+0.0135]","mean=-0.1063,ci95=[-0.1986,-0.0130]","mean=-0.1297,ci95=[-0.2178,-0.0360]"
cinema_pretrained_logreg_cls,"mean=+0.0550,ci95=[+0.0059,+0.1123]","mean=+0.0393,ci95=[-0.0416,+0.1258]",,"mean=-0.0051,ci95=[-0.0768,+0.0716]","mean=-0.0386,ci95=[-0.1472,+0.0789]","mean=-0.0097,ci95=[-0.1111,+0.0937]","mean=-0.0816,ci95=[-0.2030,+0.0415]","mean=-0.0228,ci95=[-0.1248,+0.0846]","mean=-0.0068,ci95=[-0.1025,+0.0856]","mean=-0.0699,ci95=[-0.1676,+0.0227]","mean=-0.0762,ci95=[-0.1810,+0.0283]","mean=-0.0809,ci95=[-0.1801,+0.0160]","mean=-0.0854,ci95=[-0.1994,+0.0415]","mean=-0.0602,ci95=[-0.1661,+0.0513]","mean=-0.0471,ci95=[-0.1472,+0.0548]","mean=-0.0738,ci95=[-0.1811,+0.0383]","mean=-0.0604,ci95=[-0.1665,+0.0508]","mean=+0.0033,ci95=[-0.0851,+0.1041]","mean=-0.0034,ci95=[-0.1094,+0.1011]","mean=-0.0307,ci95=[-0.1377,+0.0755]","mean=-0.0670,ci95=[-0.1867,+0.0447]","mean=-0.0904,ci95=[-0.2040,+0.0316]"
cinema_pretrained_logreg_gap,"mean=+0.0601,ci95=[-0.0139,+0.1362]","mean=+0.0443,ci95=[-0.0032,+0.0986]","mean=+0.0051,ci95=[-0.0716,+0.0768]",,"mean=-0.0335,ci95=[-0.1385,+0.0848]","mean=-0.0046,ci95=[-0.1060,+0.1030]","mean=-0.0765,ci95=[-0.1790,+0.0411]","mean=-0.0177,ci95=[-0.1255,+0.0907]","mean=-0.0017,ci95=[-0.0925,+0.0872]","mean=-0.0648,ci95=[-0.1606,+0.0257]","mean=-0.0711,ci95=[-0.1675,+0.0260]","mean=-0.0758,ci95=[-0.1738,+0.0222]","mean=-0.0803,ci95=[-0.1817,+0.0301]","mean=-0.0551,ci95=[-0.1463,+0.0416]","mean=-0.0421,ci95=[-0.1389,+0.0536]","mean=-0.0688,ci95=[-0.1573,+0.0251]","mean=-0.0553,ci95=[-0.1537,+0.0443]","mean=+0.0084,ci95=[-0.0751,+0.0939]","mean=+0.0016,ci95=[-0.0901,+0.0923]","mean=-0.0256,ci95=[-0.1209,+0.0661]","mean=-0.0619,ci95=[-0.1634,+0.0407]","mean=-0.0854,ci95=[-0.1857,+0.0190]"
dinov3_vitb16_ft-frozen_cls,"mean=+0.0937,ci95=[-0.0104,+0.1974]","mean=+0.0779,ci95=[-0.0328,+0.1794]","mean=+0.0386,ci95=[-0.0789,+0.1472]","mean=+0.0335,ci95=[-0.0848,+0.1385]",,"mean=+0.0289,ci95=[-0.0233,+0.0871]","mean=-0.0430,ci95=[-0.0932,-0.0013]","mean=+0.0158,ci95=[-0.0441,+0.0830]","mean=+0.0318,ci95=[-0.0377,+0.1053]","mean=-0.0313,ci95=[-0.1058,+0.0418]","mean=-0.0376,ci95=[-0.0990,+0.0230]","mean=-0.0423,ci95=[-0.1145,+0.0298]","mean=-0.0467,ci95=[-0.1207,+0.0266]","mean=-0.0216,ci95=[-0.1048,+0.0705]","mean=-0.0085,ci95=[-0.0891,+0.0753]","mean=-0.0352,ci95=[-0.1171,+0.0532]","mean=-0.0218,ci95=[-0.0933,+0.0561]","mean=+0.0419,ci95=[-0.0432,+0.1307]","mean=+0.0352,ci95=[-0.0527,+0.1262]","mean=+0.0079,ci95=[-0.0679,+0.0838]","mean=-0.0284,ci95=[-0.1175,+0.0625]","mean=-0.0518,ci95=[-0.1410,+0.0391]"
dinov3_vitb16_ft-frozen_gap,"mean=+0.0647,ci95=[-0.0284,+0.1600]","mean=+0.0490,ci95=[-0.0413,+0.1454]","mean=+0.0097,ci95=[-0.0937,+0.1111]","mean=+0.0046,ci95=[-0.1030,+0.1060]","mean=-0.0289,ci95=[-0.0871,+0.0233]",,"mean=-0.0719,ci95=[-0.1399,-0.0116]","mean=-0.0131,ci95=[-0.0445,+0.0180]","mean=+0.0029,ci95=[-0.0656,+0.0733]","mean=-0.0602,ci95=[-0.1339,+0.0160]","mean=-0.0665,ci95=[-0.1139,-0.0221]","mean=-0.0712,ci95=[-0.1440,+0.0030]","mean=-0.0757,ci95=[-0.1379,-0.0221]","mean=-0.0505,ci95=[-0.1213,+0.0272]","mean=-0.0374,ci95=[-0.1050,+0.0322]","mean=-0.0641,ci95=[-0.1402,+0.0157]","mean=-0.0507,ci95=[-0.1100,-0.0005]","mean=+0.0130,ci95=[-0.0523,+0.0885]","mean=+0.0062,ci95=[-0.0688,+0.0843]","mean=-0.0210,ci95=[-0.0922,+0.0484]","mean=-0.0573,ci95=[-0.1296,+0.0107]","mean=-0.0807,ci95=[-0.1644,-0.0055]"
dinov3_vitb16_logreg_cls,"mean=+0.1366,ci95=[+0.0232,+0.2371]","mean=+0.1208,ci95=[+0.0110,+0.2164]","mean=+0.0816,ci95=[-0.0415,+0.2030]","mean=+0.0765,ci95=[-0.0411,+0.1790]","mean=+0.0430,ci95=[+0.0013,+0.0932]","mean=+0.0719,ci95=[+0.0116,+0.1399]",,"mean=+0.0588,ci95=[-0.0053,+0.1257]","mean=+0.0748,ci95=[+0.0008,+0.1555]","mean=+0.0116,ci95=[-0.0701,+0.0947]","mean=+0.0054,ci95=[-0.0610,+0.0668]","mean=+0.0007,ci95=[-0.0789,+0.0737]","mean=-0.0038,ci95=[-0.0631,+0.0606]","mean=+0.0214,ci95=[-0.0605,+0.1057]","mean=+0.0344,ci95=[-0.0523,+0.1205]","mean=+0.0077,ci95=[-0.0723,+0.0916]","mean=+0.0211,ci95=[-0.0465,+0.0901]","mean=+0.0848,ci95=[+0.0021,+0.1711]","mean=+0.0781,ci95=[-0.0140,+0.1733]","mean=+0.0508,ci95=[-0.0268,+0.1329]","mean=+0.0145,ci95=[-0.0660,+0.0960]","mean=-0.0089,ci95=[-0.0959,+0.0723]"
dinov3_vitb16_logreg_gap,"mean=+0.0778,ci95=[-0.0163,+0.1663]","mean=+0.0620,ci95=[-0.0315,+0.1589]","mean=+0.0228,ci95=[-0.0846,+0.1248]","mean=+0.0177,ci95=[-0.0907,+0.1255]","mean=-0.0158,ci95=[-0.0830,+0.0441]","mean=+0.0131,ci95=[-0.0180,+0.0445]","mean=-0.0588,ci95=[-0.1257,+0.0053]",,"mean=+0.0160,ci95=[-0.0476,+0.0842]","mean=-0.0471,ci95=[-0.1183,+0.0266]","mean=-0.0534,ci95=[-0.0982,-0.0118]","mean=-0.0581,ci95=[-0.1299,+0.0141]","mean=-0.0626,ci95=[-0.1300,-0.0067]","mean=-0.0374,ci95=[-0.1095,+0.0367]","mean=-0.0244,ci95=[-0.0957,+0.0467]","mean=-0.0511,ci95=[-0.1292,+0.0291]","mean=-0.0376,ci95=[-0.0971,+0.0207]","mean=+0.0261,ci95=[-0.0424,+0.1043]","mean=+0.0193,ci95=[-0.0587,+0.0971]","mean=-0.0079,ci95=[-0.0863,+0.0627]","mean=-0.0442,ci95=[-0.1157,+0.0273]","mean=-0.0677,ci95=[-0.1496,+0.0117]"
dinov3_vitl16_ft-frozen_cls,"mean=+0.0618,ci95=[-0.0264,+0.1522]","mean=+0.0460,ci95=[-0.0380,+0.1279]","mean=+0.0068,ci95=[-0.0856,+0.1025]","mean=+0.0017,ci95=[-0.0872,+0.0925]","mean=-0.0318,ci95=[-0.1053,+0.0377]","mean=-0.0029,ci95=[-0.0733,+0.0656]","mean=-0.0748,ci95=[-0.1555,-0.0008]","mean=-0.0160,ci95=[-0.0842,+0.0476]",,"mean=-0.0632,ci95=[-0.1167,-0.0104]","mean=-0.0694,ci95=[-0.1271,-0.0245]","mean=-0.0742,ci95=[-0.1312,-0.0195]","mean=-0.0786,ci95=[-0.1659,-0.0021]","mean=-0.0534,ci95=[-0.1231,+0.0140]","mean=-0.0404,ci95=[-0.1111,+0.0194]","mean=-0.0671,ci95=[-0.1410,+0.0020]","mean=-0.0537,ci95=[-0.1212,+0.0112]","mean=+0.0100,ci95=[-0.0513,+0.0737]","mean=+0.0033,ci95=[-0.0693,+0.0770]","mean=-0.0240,ci95=[-0.0941,+0.0437]","mean=-0.0603,ci95=[-0.1339,+0.0148]","mean=-0.0837,ci95=[-0.1576,-0.0016]"
dinov3_vitl16_ft-frozen_gap,"mean=+0.1250,ci95=[+0.0286,+0.2166]","mean=+0.1092,ci95=[+0.0219,+0.1945]","mean=+0.0699,ci95=[-0.0227,+0.1676]","mean=+0.0648,ci95=[-0.0257,+0.1606]","mean=+0.0313,ci95=[-0.0418,+0.1058]","mean=+0.0602,ci95=[-0.0160,+0.1339]","mean=-0.0116,ci95=[-0.0947,+0.0701]","mean=+0.0471,ci95=[-0.0266,+0.1183]","mean=+0.0632,ci95=[+0.0104,+0.1167]",,"mean=-0.0062,ci95=[-0.0677,+0.0532]","mean=-0.0110,ci95=[-0.0384,+0.0127]","mean=-0.0154,ci95=[-0.1056,+0.0705]","mean=+0.0097,ci95=[-0.0662,+0.0911]","mean=+0.0228,ci95=[-0.0487,+0.0945]","mean=-0.0039,ci95=[-0.0820,+0.0760]","mean=+0.0095,ci95=[-0.0701,+0.0857]","mean=+0.0732,ci95=[+0.0011,+0.1461]","mean=+0.0665,ci95=[-0.0191,+0.1471]","mean=+0.0392,ci95=[-0.0364,+0.1152]","mean=+0.0029,ci95=[-0.0847,+0.0940]","mean=-0.0205,ci95=[-0.1118,+0.0765]"
