,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_logreg_cls,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,1.0,0.24778856337070465,0.6900379657745361,0.08715855330228806,1.0,0.6358280026288412,1.0,0.14330665429588407,1.0,0.3240086000878364,0.8641662404406816,0.39152830513194203,0.16863754391670227,0.5327092552361137,0.21102359760880063,0.6439689563703723,1.0,0.8505540192127228,0.735878800856881,0.5514843298025198,0.4613911821367651,0.3712980344710104,0.7492586247608418
cinema_pretrained_ft-frozen_gap,0.24778856337070465,1.0,0.09873714670538905,0.6636238098144531,0.39152830513194203,0.7283324808813632,0.36159460805356514,0.7428293587290682,0.24778856337070465,1.0,0.44206833839416504,1.0,0.013530986849218607,0.050102459732443094,0.8714146793645341,0.735878800856881,0.22948101302608848,0.10775214433670044,0.08715855330228806,0.860050065908581,1.0,1.0,0.5966148958541453
cinema_pretrained_logreg_cls,0.6900379657745361,0.09873714670538905,1.0,0.01463329792022705,0.5034446716308594,0.3603776529357674,0.6439689563703723,0.05958388801809633,0.711071103811264,0.14330665429588407,0.5223973804968411,0.16275565745308995,0.38331031799316406,0.860050065908581,0.10380535550410741,0.31050465907901537,0.8388197422027588,1.0,1.0,0.24298495403490966,0.14961278438568115,0.14330665429588407,0.36159460805356514
cinema_pretrained_logreg_gap,0.08715855330228806,0.6636238098144531,0.01463329792022705,1.0,0.10775214433670044,0.44079906734259566,0.18774155899882317,1.0,0.08715855330228806,0.735878800856881,0.2558750795433298,0.5715881884098053,0.0021024015732109547,0.013530986849218607,1.0,0.34492845088243484,0.052238985896110535,0.022655844688415527,0.010622024536132812,0.4995598332025112,0.5966148958541453,0.735878800856881,0.28104151505976915
dinov3_vit7b16_logreg_cls,1.0,0.39152830513194203,0.5034446716308594,0.10775214433670044,1.0,0.720100131817162,1.0,0.10775214433670044,1.0,0.30745625495910645,1.0,0.4048728942871094,0.049041748046875,0.34492845088243484,0.24298495403490966,0.6900379657745361,0.8238029479980469,0.6776394844055176,0.5234670639038086,0.5966148958541453,0.42435622215270996,0.36159460805356514,0.8388197422027588
dinov3_vitb16_ft-frozen_cls,0.6358280026288412,0.7283324808813632,0.3603776529357674,0.44079906734259566,0.720100131817162,1.0,0.5078125,0.0703125,0.5234670639038086,0.6072387695312499,0.803619384765625,0.8318119049072266,0.042773945257067694,0.13604594767093658,0.45825831964612007,1.0,0.47312965989112854,0.39152830513194203,0.3240086000878364,1.0,0.8450189828872681,0.6476058959960938,1.0
dinov3_vitb16_ft-frozen_gap,1.0,0.36159460805356514,0.6439689563703723,0.18774155899882317,1.0,0.5078125,1.0,0.01171875,1.0,0.237884521484375,1.0,0.38331031799316406,0.12207812070846558,0.30745625495910645,0.1849333420395851,0.6900379657745361,0.8388197422027588,0.7011080384254456,0.5846647117286922,0.5715881884098053,0.42435622215270996,0.28627872467041016,0.8318119049072266
dinov3_vitb16_logreg_cls,0.14330665429588407,0.7428293587290682,0.05958388801809633,1.0,0.10775214433670044,0.0703125,0.01171875,1.0,0.052478790283203125,0.629058837890625,0.11531829833984375,0.480682373046875,0.0009122341871261597,0.008130058646202087,1.0,0.30745625495910645,0.06142834573984146,0.050102459732443094,0.040959591511636986,0.45825831964612007,0.557197093963623,0.6636238098144531,0.24778856337070465
dinov3_vitb16_logreg_gap,1.0,0.24778856337070465,0.711071103811264,0.08715855330228806,1.0,0.5234670639038086,1.0,0.052478790283203125,1.0,0.18924713134765625,0.8505540192127228,0.210113525390625,0.11531829833984375,0.38331031799316406,0.18774155899882317,0.5412561893463135,1.0,0.8450189828872681,0.6476058959960938,0.38331031799316406,0.1795654296875,0.21003961563110352,0.629058837890625
dinov3_vitl16_ft-frozen_cls,0.3240086000878364,1.0,0.14330665429588407,0.735878800856881,0.30745625495910645,0.6072387695312499,0.237884521484375,0.629058837890625,0.18924713134765625,1.0,0.38331031799316406,1.0,0.004077315330505371,0.03569813817739487,0.8505540192127228,0.6900379657745361,0.16863754391670227,0.13604594767093658,0.09873714670538905,0.8388197422027588,1.0,1.0,0.5412561893463135
