,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_logreg_cls,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,,"mean=-0.0631,ci95=[-0.1510,+0.0385]","mean=+0.1171,ci95=[+0.0300,+0.2188]","mean=-0.0098,ci95=[-0.1025,+0.0997]","mean=+0.0812,ci95=[-0.0160,+0.1886]","mean=-0.0355,ci95=[-0.1487,+0.0824]","mean=-0.0023,ci95=[-0.1301,+0.1324]","mean=-0.0540,ci95=[-0.1892,+0.0798]","mean=+0.0630,ci95=[-0.0356,+0.1716]","mean=-0.0571,ci95=[-0.1746,+0.0585]","mean=-0.0301,ci95=[-0.1572,+0.1058]","mean=+0.0188,ci95=[-0.0796,+0.1275]","mean=+0.1322,ci95=[+0.0432,+0.2323]","mean=+0.0528,ci95=[-0.0613,+0.1741]","mean=-0.0736,ci95=[-0.2073,+0.0596]","mean=+0.0291,ci95=[-0.0758,+0.1424]","mean=+0.0794,ci95=[-0.0184,+0.1947]","mean=+0.0346,ci95=[-0.0651,+0.1443]","mean=+0.1087,ci95=[+0.0194,+0.2113]","mean=+0.0053,ci95=[-0.0962,+0.1172]","mean=+0.0131,ci95=[-0.0955,+0.1290]","mean=-0.0317,ci95=[-0.1718,+0.1002]","mean=+0.0324,ci95=[-0.0785,+0.1452]"
cinema_pretrained_ft-frozen_gap,"mean=+0.0631,ci95=[-0.0385,+0.1510]",,"mean=+0.1803,ci95=[+0.1015,+0.2485]","mean=+0.0533,ci95=[-0.0135,+0.1217]","mean=+0.1443,ci95=[+0.0686,+0.2205]","mean=+0.0277,ci95=[-0.0646,+0.1194]","mean=+0.0608,ci95=[-0.0468,+0.1588]","mean=+0.0091,ci95=[-0.1034,+0.1120]","mean=+0.1261,ci95=[+0.0578,+0.1978]","mean=+0.0060,ci95=[-0.0896,+0.0969]","mean=+0.0330,ci95=[-0.0532,+0.1195]","mean=+0.0820,ci95=[+0.0067,+0.1549]","mean=+0.1953,ci95=[+0.1173,+0.2683]","mean=+0.1159,ci95=[+0.0404,+0.1987]","mean=-0.0105,ci95=[-0.1196,+0.0869]","mean=+0.0922,ci95=[+0.0107,+0.1792]","mean=+0.1425,ci95=[+0.0667,+0.2225]","mean=+0.0978,ci95=[+0.0223,+0.1742]","mean=+0.1718,ci95=[+0.1021,+0.2419]","mean=+0.0685,ci95=[-0.0077,+0.1502]","mean=+0.0762,ci95=[-0.0053,+0.1525]","mean=+0.0314,ci95=[-0.0737,+0.1269]","mean=+0.0956,ci95=[+0.0133,+0.1705]"
cinema_pretrained_logreg_cls,"mean=-0.1171,ci95=[-0.2188,-0.0300]","mean=-0.1803,ci95=[-0.2485,-0.1015]",,"mean=-0.1269,ci95=[-0.1893,-0.0640]","mean=-0.0359,ci95=[-0.0915,+0.0166]","mean=-0.1526,ci95=[-0.2498,-0.0494]","mean=-0.1194,ci95=[-0.2288,-0.0138]","mean=-0.1711,ci95=[-0.2791,-0.0708]","mean=-0.0541,ci95=[-0.1144,+0.0070]","mean=-0.1742,ci95=[-0.2727,-0.0723]","mean=-0.1472,ci95=[-0.2446,-0.0576]","mean=-0.0983,ci95=[-0.1573,-0.0308]","mean=+0.0151,ci95=[-0.0405,+0.0670]","mean=-0.0643,ci95=[-0.1381,+0.0115]","mean=-0.1907,ci95=[-0.2840,-0.0951]","mean=-0.0881,ci95=[-0.1515,-0.0237]","mean=-0.0378,ci95=[-0.0937,+0.0208]","mean=-0.0825,ci95=[-0.1540,-0.0176]","mean=-0.0084,ci95=[-0.0526,+0.0336]","mean=-0.1118,ci95=[-0.1700,-0.0466]","mean=-0.1041,ci95=[-0.1611,-0.0404]","mean=-0.1488,ci95=[-0.2502,-0.0640]","mean=-0.0847,ci95=[-0.1468,-0.0203]"
cinema_pretrained_logreg_gap,"mean=+0.0098,ci95=[-0.0997,+0.1025]","mean=-0.0533,ci95=[-0.1217,+0.0135]","mean=+0.1269,ci95=[+0.0640,+0.1893]",,"mean=+0.0910,ci95=[+0.0302,+0.1519]","mean=-0.0256,ci95=[-0.1297,+0.0751]","mean=+0.0075,ci95=[-0.1037,+0.1074]","mean=-0.0442,ci95=[-0.1582,+0.0568]","mean=+0.0728,ci95=[+0.0011,+0.1388]","mean=-0.0473,ci95=[-0.1559,+0.0556]","mean=-0.0203,ci95=[-0.1228,+0.0756]","mean=+0.0286,ci95=[-0.0406,+0.1027]","mean=+0.1420,ci95=[+0.0746,+0.2111]","mean=+0.0626,ci95=[-0.0176,+0.1379]","mean=-0.0638,ci95=[-0.1699,+0.0446]","mean=+0.0389,ci95=[-0.0277,+0.1019]","mean=+0.0892,ci95=[+0.0310,+0.1485]","mean=+0.0444,ci95=[-0.0283,+0.1156]","mean=+0.1185,ci95=[+0.0599,+0.1738]","mean=+0.0151,ci95=[-0.0601,+0.0905]","mean=+0.0229,ci95=[-0.0467,+0.0951]","mean=-0.0219,ci95=[-0.1241,+0.0685]","mean=+0.0422,ci95=[-0.0259,+0.1154]"
dinov3_vit7b16_logreg_cls,"mean=-0.0812,ci95=[-0.1886,+0.0160]","mean=-0.1443,ci95=[-0.2205,-0.0686]","mean=+0.0359,ci95=[-0.0166,+0.0915]","mean=-0.0910,ci95=[-0.1519,-0.0302]",,"mean=-0.1167,ci95=[-0.2135,-0.0214]","mean=-0.0835,ci95=[-0.1854,+0.0103]","mean=-0.1352,ci95=[-0.2426,-0.0414]","mean=-0.0182,ci95=[-0.0706,+0.0294]","mean=-0.1383,ci95=[-0.2302,-0.0441]","mean=-0.1113,ci95=[-0.2074,-0.0232]","mean=-0.0624,ci95=[-0.1206,-0.0047]","mean=+0.0510,ci95=[+0.0031,+0.1021]","mean=-0.0284,ci95=[-0.1009,+0.0447]","mean=-0.1548,ci95=[-0.2485,-0.0580]","mean=-0.0522,ci95=[-0.1119,+0.0046]","mean=-0.0019,ci95=[-0.0485,+0.0421]","mean=-0.0466,ci95=[-0.1097,+0.0164]","mean=+0.0275,ci95=[-0.0219,+0.0843]","mean=-0.0759,ci95=[-0.1384,-0.0139]","mean=-0.0682,ci95=[-0.1232,-0.0132]","mean=-0.1129,ci95=[-0.2076,-0.0261]","mean=-0.0488,ci95=[-0.1048,+0.0077]"
dinov3_vitb16_ft-frozen_cls,"mean=+0.0355,ci95=[-0.0824,+0.1487]","mean=-0.0277,ci95=[-0.1194,+0.0646]","mean=+0.1526,ci95=[+0.0494,+0.2498]","mean=+0.0256,ci95=[-0.0751,+0.1297]","mean=+0.1167,ci95=[+0.0214,+0.2135]",,"mean=+0.0331,ci95=[-0.0404,+0.1167]","mean=-0.0185,ci95=[-0.0880,+0.0645]","mean=+0.0985,ci95=[+0.0182,+0.1878]","mean=-0.0216,ci95=[-0.0769,+0.0319]","mean=+0.0054,ci95=[-0.0891,+0.0983]","mean=+0.0543,ci95=[-0.0308,+0.1399]","mean=+0.1676,ci95=[+0.0739,+0.2607]","mean=+0.0883,ci95=[+0.0039,+0.1777]","mean=-0.0382,ci95=[-0.1503,+0.0659]","mean=+0.0645,ci95=[-0.0255,+0.1572]","mean=+0.1148,ci95=[+0.0233,+0.2144]","mean=+0.0701,ci95=[-0.0138,+0.1597]","mean=+0.1441,ci95=[+0.0499,+0.2346]","mean=+0.0408,ci95=[-0.0505,+0.1318]","mean=+0.0485,ci95=[-0.0446,+0.1419]","mean=+0.0037,ci95=[-0.0752,+0.0894]","mean=+0.0679,ci95=[-0.0239,+0.1619]"
dinov3_vitb16_ft-frozen_gap,"mean=+0.0023,ci95=[-0.1324,+0.1301]","mean=-0.0608,ci95=[-0.1588,+0.0468]","mean=+0.1194,ci95=[+0.0138,+0.2288]","mean=-0.0075,ci95=[-0.1074,+0.1037]","mean=+0.0835,ci95=[-0.0103,+0.1854]","mean=-0.0331,ci95=[-0.1167,+0.0404]",,"mean=-0.0517,ci95=[-0.0957,-0.0141]","mean=+0.0653,ci95=[-0.0167,+0.1619]","mean=-0.0548,ci95=[-0.1407,+0.0274]","mean=-0.0278,ci95=[-0.1186,+0.0515]","mean=+0.0211,ci95=[-0.0695,+0.1135]","mean=+0.1345,ci95=[+0.0371,+0.2344]","mean=+0.0551,ci95=[-0.0146,+0.1346]","mean=-0.0713,ci95=[-0.1764,+0.0166]","mean=+0.0314,ci95=[-0.0689,+0.1361]","mean=+0.0817,ci95=[-0.0081,+0.1828]","mean=+0.0369,ci95=[-0.0434,+0.1238]","mean=+0.1110,ci95=[+0.0177,+0.2133]","mean=+0.0076,ci95=[-0.0891,+0.1089]","mean=+0.0154,ci95=[-0.0775,+0.1175]","mean=-0.0294,ci95=[-0.0974,+0.0379]","mean=+0.0347,ci95=[-0.0596,+0.1341]"
dinov3_vitb16_logreg_cls,"mean=+0.0540,ci95=[-0.0798,+0.1892]","mean=-0.0091,ci95=[-0.1120,+0.1034]","mean=+0.1711,ci95=[+0.0708,+0.2791]","mean=+0.0442,ci95=[-0.0568,+0.1582]","mean=+0.1352,ci95=[+0.0414,+0.2426]","mean=+0.0185,ci95=[-0.0645,+0.0880]","mean=+0.0517,ci95=[+0.0141,+0.0957]",,"mean=+0.1170,ci95=[+0.0282,+0.2171]","mean=-0.0031,ci95=[-0.0837,+0.0743]","mean=+0.0239,ci95=[-0.0693,+0.1069]","mean=+0.0728,ci95=[-0.0081,+0.1682]","mean=+0.1862,ci95=[+0.0894,+0.2896]","mean=+0.1068,ci95=[+0.0316,+0.1946]","mean=-0.0196,ci95=[-0.1252,+0.0690]","mean=+0.0831,ci95=[-0.0105,+0.1891]","mean=+0.1334,ci95=[+0.0381,+0.2454]","mean=+0.0886,ci95=[+0.0082,+0.1780]","mean=+0.1627,ci95=[+0.0685,+0.2665]","mean=+0.0593,ci95=[-0.0311,+0.1683]","mean=+0.0671,ci95=[-0.0238,+0.1698]","mean=+0.0223,ci95=[-0.0382,+0.0866]","mean=+0.0864,ci95=[-0.0054,+0.1854]"
dinov3_vitb16_logreg_gap,"mean=-0.0630,ci95=[-0.1716,+0.0356]","mean=-0.1261,ci95=[-0.1978,-0.0578]","mean=+0.0541,ci95=[-0.0070,+0.1144]","mean=-0.0728,ci95=[-0.1388,-0.0011]","mean=+0.0182,ci95=[-0.0294,+0.0706]","mean=-0.0985,ci95=[-0.1878,-0.0182]","mean=-0.0653,ci95=[-0.1619,+0.0167]","mean=-0.1170,ci95=[-0.2171,-0.0282]",,"mean=-0.1201,ci95=[-0.2108,-0.0370]","mean=-0.0931,ci95=[-0.1840,+0.0058]","mean=-0.0442,ci95=[-0.0925,+0.0038]","mean=+0.0692,ci95=[+0.0120,+0.1247]","mean=-0.0102,ci95=[-0.0759,+0.0521]","mean=-0.1366,ci95=[-0.2389,-0.0402]","mean=-0.0340,ci95=[-0.0940,+0.0245]","mean=+0.0164,ci95=[-0.0261,+0.0611]","mean=-0.0284,ci95=[-0.0940,+0.0384]","mean=+0.0457,ci95=[-0.0039,+0.0968]","mean=-0.0577,ci95=[-0.1125,-0.0041]","mean=-0.0500,ci95=[-0.0980,-0.0051]","mean=-0.0947,ci95=[-0.1892,-0.0126]","mean=-0.0306,ci95=[-0.0841,+0.0239]"
dinov3_vitl16_ft-frozen_cls,"mean=+0.0571,ci95=[-0.0585,+0.1746]","mean=-0.0060,ci95=[-0.0969,+0.0896]","mean=+0.1742,ci95=[+0.0723,+0.2727]","mean=+0.0473,ci95=[-0.0556,+0.1559]","mean=+0.1383,ci95=[+0.0441,+0.2302]","mean=+0.0216,ci95=[-0.0319,+0.0769]","mean=+0.0548,ci95=[-0.0274,+0.1407]","mean=+0.0031,ci95=[-0.0743,+0.0837]","mean=+0.1201,ci95=[+0.0370,+0.2108]",,"mean=+0.0270,ci95=[-0.0751,+0.1205]","mean=+0.0759,ci95=[-0.0020,+0.1561]","mean=+0.1893,ci95=[+0.0933,+0.2783]","mean=+0.1099,ci95=[+0.0279,+0.1948]","mean=-0.0165,ci95=[-0.1263,+0.0842]","mean=+0.0862,ci95=[-0.0089,+0.1841]","mean=+0.1365,ci95=[+0.0436,+0.2425]","mean=+0.0917,ci95=[+0.0074,+0.1853]","mean=+0.1658,ci95=[+0.0700,+0.2561]","mean=+0.0624,ci95=[-0.0271,+0.1565]","mean=+0.0702,ci95=[-0.0212,+0.1686]","mean=+0.0254,ci95=[-0.0521,+0.1109]","mean=+0.0895,ci95=[-0.0023,+0.1822]"
