,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_logreg_cls,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,1.0,0.238,0.008,0.84,0.1,0.52,0.972,0.458,0.24,0.308,0.634,0.74,0.002,0.404,0.292,0.624,0.136,0.558,0.018,0.96,0.834,0.648,0.578
cinema_pretrained_ft-frozen_gap,0.238,1.0,0.001,0.114,0.001,0.542,0.294,0.866,0.004,0.854,0.494,0.034,0.001,0.008,0.848,0.028,0.001,0.012,0.001,0.074,0.068,0.528,0.024
cinema_pretrained_logreg_cls,0.008,0.001,1.0,0.001,0.184,0.002,0.016,0.001,0.07,0.001,0.004,0.004,0.572,0.106,0.001,0.012,0.19,0.014,0.744,0.001,0.001,0.001,0.006
cinema_pretrained_logreg_gap,0.84,0.114,0.001,1.0,0.002,0.65,0.872,0.466,0.044,0.38,0.69,0.414,0.002,0.1,0.24,0.212,0.001,0.24,0.001,0.664,0.54,0.688,0.25
dinov3_vit7b16_logreg_cls,0.1,0.001,0.184,0.002,1.0,0.018,0.114,0.001,0.498,0.001,0.024,0.03,0.04,0.43,0.001,0.07,0.924,0.144,0.316,0.018,0.016,0.004,0.092
dinov3_vitb16_ft-frozen_cls,0.52,0.542,0.002,0.65,0.018,1.0,0.428,0.612,0.022,0.4,0.9,0.218,0.002,0.042,0.528,0.16,0.014,0.106,0.004,0.378,0.308,0.958,0.124
dinov3_vitb16_ft-frozen_gap,0.972,0.294,0.016,0.872,0.114,0.428,1.0,0.006,0.136,0.182,0.538,0.706,0.006,0.144,0.118,0.576,0.076,0.356,0.016,0.926,0.806,0.39,0.538
dinov3_vitb16_logreg_cls,0.458,0.866,0.001,0.466,0.001,0.612,0.006,1.0,0.006,0.966,0.568,0.102,0.001,0.01,0.738,0.096,0.004,0.034,0.002,0.28,0.196,0.48,0.08
dinov3_vitb16_logreg_gap,0.24,0.004,0.07,0.044,0.498,0.022,0.136,0.006,1.0,0.01,0.062,0.062,0.014,0.78,0.01,0.28,0.492,0.392,0.078,0.036,0.034,0.02,0.268
dinov3_vitl16_ft-frozen_cls,0.308,0.854,0.001,0.38,0.001,0.4,0.182,0.966,0.01,1.0,0.568,0.064,0.001,0.016,0.81,0.092,0.002,0.034,0.001,0.182,0.15,0.584,0.062
dinov3_vitl16_ft-frozen_gap,0.634,0.494,0.004,0.69,0.024,0.9,0.538,0.568,0.062,0.568,1.0,0.298,0.001,0.048,0.452,0.198,0.024,0.118,0.006,0.526,0.398,0.948,0.192
dinov3_vitl16_logreg_cls,0.74,0.034,0.004,0.414,0.03,0.218,0.706,0.102,0.062,0.064,0.298,1.0,0.001,0.372,0.076,0.732,0.038,0.664,0.002,0.656,0.848,0.25,0.614
dinov3_vitl16_logreg_gap,0.002,0.001,0.572,0.002,0.04,0.002,0.006,0.001,0.014,0.001,0.001,0.001,1.0,0.048,0.001,0.001,0.08,0.004,0.382,0.001,0.001,0.001,0.001
