Backbone,Model,Embed Dim,Eval Mode,Pooling,5-way Acc,5-way F1,5-way AUC,Binary Acc,Binary F1,Binary Sens,Binary Spec,Binary AUC
CineMA,cinema_pretrained,768,logreg,cls,0.3810,0.1916,0.5813,0.7048,0.8268,1.0000,0.0000,0.5815
CineMA,cinema_pretrained,768,logreg,gap,0.5048,0.3199,0.6875,0.7143,0.8193,0.9189,0.2258,0.7014
CineMA,cinema_pretrained,768,ft-frozen,cls,0.4095,0.3126,0.6167,0.6952,0.7975,0.8514,0.3226,0.6439
CineMA,cinema_pretrained,768,ft-frozen,gap,0.4762,0.3738,0.6791,0.7429,0.8323,0.9054,0.3548,0.6709
Dino,dinov3_vit7b16,4096,logreg,cls,0.4190,0.2285,0.6948,0.7048,0.8268,1.0000,0.0000,0.6975
Dino,dinov3_vitb16,768,logreg,cls,0.5048,0.3707,0.6596,0.7333,0.8205,0.8649,0.4194,0.7188
Dino,dinov3_vitl16,1024,logreg,cls,0.4667,0.2913,0.6635,0.7238,0.8304,0.9595,0.1613,0.6399
Dino,dinov3_vits16,384,logreg,cls,0.4476,0.2810,0.6991,0.7238,0.8362,1.0000,0.0645,0.7411
Dino,dinov3_vitb16,768,logreg,gap,0.4095,0.2471,0.6882,0.7048,0.8268,1.0000,0.0000,0.6844
Dino,dinov3_vitl16,1024,logreg,gap,0.3333,0.1778,0.6393,0.7048,0.8268,1.0000,0.0000,0.6735
Dino,dinov3_vits16,384,logreg,gap,0.4000,0.2301,0.6731,0.7048,0.8268,1.0000,0.0000,0.6600
Dino,dinov3_vitb16,768,ft-frozen,cls,0.4476,0.3505,0.6599,0.7238,0.8129,0.8514,0.4194,0.6968
Dino,dinov3_vitl16,1024,ft-frozen,cls,0.4762,0.3716,0.6577,0.6952,0.7949,0.8378,0.3548,0.6504
Dino,dinov3_vits16,384,ft-frozen,cls,0.3619,0.2600,0.6620,0.7048,0.8268,1.0000,0.0000,0.6417
Dino,dinov3_vitb16,768,ft-frozen,gap,0.4190,0.3189,0.6842,0.7238,0.8221,0.9054,0.2903,0.6857
Dino,dinov3_vitl16,1024,ft-frozen,gap,0.4286,0.3464,0.6494,0.7333,0.8272,0.9054,0.3226,0.6927
Dino,dinov3_vits16,384,ft-frozen,gap,0.4952,0.3894,0.6532,0.7429,0.8138,0.7973,0.6129,0.7101
SAM,sam_vit_base,768,logreg,gap,0.3810,0.1998,0.6771,0.7048,0.8268,1.0000,0.0000,0.5031
SAM,sam_vit_huge,1280,logreg,gap,0.4667,0.2973,0.7223,0.7048,0.8229,0.9730,0.0645,0.6430
SAM,sam_vit_large,1024,logreg,gap,0.4381,0.2778,0.7267,0.7143,0.8295,0.9865,0.0645,0.6011
SAM,sam_vit_base,768,ft-frozen,gap,0.3905,0.2770,0.6384,0.6952,0.8118,0.9324,0.1290,0.5820
SAM,sam_vit_huge,1280,ft-frozen,gap,0.4571,0.3044,0.7182,0.7048,0.7947,0.8108,0.4516,0.7153
SAM,sam_vit_large,1024,ft-frozen,gap,0.4762,0.3469,0.7080,0.6571,0.7534,0.7432,0.4516,0.6382
