Backbone,Model,Decoder,acdc,mnm,mnm2,Mean Macro Dice
CineMA,cinema_pretrained,Linear,0.7386,0.6600,0.6386,0.6791
CineMA,cinema_pretrained,Conv,0.7807,0.6962,0.6621,0.7130
CineMA,cinema_pretrained,UNETR,0.9005,0.8549,0.8631,0.8728
Dino,dinov3_vitb16,Linear,0.7825,0.7505,0.7469,0.7600
Dino,dinov3_vitl16,Linear,0.7829,0.7529,0.7528,0.7629
Dino,dinov3_vits16,Linear,0.7575,0.7279,0.7150,0.7335
Dino,dinov3_vitb16,Conv,0.8706,0.8394,0.8533,0.8544
Dino,dinov3_vitl16,Conv,0.8768,0.8437,0.8559,0.8588
Dino,dinov3_vits16,Conv,0.8687,0.8362,0.8489,0.8513
Dino,dinov3_vitb16,UNETR,0.8778,0.8369,0.8519,0.8555
Dino,dinov3_vitl16,UNETR,0.8772,0.8393,0.8503,0.8556
Dino,dinov3_vits16,UNETR,0.8740,0.8380,0.8500,0.8540
SAM2,sam2_1_hiera_base_plus,Linear,0.7866,0.7308,0.7330,0.7501
SAM2,sam2_1_hiera_large,Linear,0.8022,0.7556,0.7547,0.7708
SAM2,sam2_1_hiera_small,Linear,0.7927,0.7411,0.7411,0.7583
SAM2,sam2_1_hiera_base_plus,Conv,0.8587,0.8159,0.8317,0.8354
SAM2,sam2_1_hiera_large,Conv,0.8650,0.8268,0.8416,0.8445
SAM2,sam2_1_hiera_small,Conv,0.8569,0.8206,0.8349,0.8375
SAM2,sam2_1_hiera_base_plus,UNETR,0.8634,0.8319,0.8441,0.8465
SAM2,sam2_1_hiera_large,UNETR,0.8751,0.8376,0.8498,0.8542
SAM2,sam2_1_hiera_small,UNETR,0.8679,0.8300,0.8477,0.8485
