,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_ft-full_cls,cinema_pretrained_ft-full_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_ft-frozen_cls,dinov3_vit7b16_ft-frozen_gap,dinov3_vit7b16_logreg_cls,dinov3_vit7b16_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_ft-full_cls,dinov3_vitb16_ft-full_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_ft-full_cls,dinov3_vits16_ft-full_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_ft-full_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,1.0,1.0,1.0,1.0,0.6875,1.0,0.3876953125,0.548828125,0.2265625,1.0,0.375,0.6875,0.7265625,0.5078125,0.21875,0.6875,0.548828125,0.7265625,1.0,0.453125,0.5078125,0.453125,0.1795654296875,0.7265625,0.2890625,0.2890625,1.0,0.266845703125,1.0,1.0,0.7265625,0.7265625,0.453125
cinema_pretrained_ft-frozen_gap,1.0,1.0,1.0,1.0,0.5078125,1.0,0.266845703125,0.3876953125,0.14599609375,1.0,0.21875,0.5078125,0.548828125,0.3876953125,0.125,0.5078125,0.34375,0.453125,0.7265625,0.34375,0.34375,0.2890625,0.09228515625,0.548828125,0.2265625,0.1796875,1.0,0.210113525390625,1.0,1.0,0.548828125,0.5810546875,0.3876953125
cinema_pretrained_ft-full_cls,1.0,1.0,1.0,1.0,0.548828125,1.0,0.30175781249999994,0.3876953125,0.1795654296875,1.0,0.3876953125,0.548828125,0.5810546875,0.3876953125,0.266845703125,0.548828125,0.3876953125,0.548828125,0.75390625,0.3876953125,0.4239501953125,0.3876953125,0.143463134765625,0.5810546875,0.30175781249999994,0.266845703125,1.0,0.1795654296875,1.0,1.0,0.548828125,0.5810546875,0.3876953125
cinema_pretrained_ft-full_gap,1.0,1.0,1.0,1.0,0.25,1.0,0.2265625,0.2890625,0.109375,1.0,0.21875,0.375,0.375,0.21875,0.0625,0.375,0.2890625,0.375,0.625,0.125,0.34375,0.34375,0.11846923828124999,0.375,0.1796875,0.2265625,1.0,0.1795654296875,1.0,1.0,0.453125,0.453125,0.21875
cinema_pretrained_logreg_cls,0.6875,0.5078125,0.548828125,0.25,1.0,0.5078125,0.7265625,1.0,0.453125,0.453125,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4239501953125,1.0,0.6875,0.7265625,0.453125,0.6072387695312499,0.6875,0.625,1.0,1.0,1.0
cinema_pretrained_logreg_gap,1.0,1.0,1.0,1.0,0.5078125,1.0,0.266845703125,0.3876953125,0.14599609375,1.0,0.21875,0.5078125,0.548828125,0.3876953125,0.125,0.5078125,0.34375,0.453125,0.7265625,0.34375,0.34375,0.2890625,0.09228515625,0.548828125,0.2265625,0.1796875,1.0,0.210113525390625,1.0,1.0,0.548828125,0.5810546875,0.3876953125
dinov3_vit7b16_ft-frozen_cls,0.3876953125,0.266845703125,0.30175781249999994,0.2265625,0.7265625,0.266845703125,1.0,1.0,1.0,0.1796875,1.0,0.75390625,0.75390625,1.0,1.0,0.75390625,1.0,0.75390625,0.453125,1.0,1.0,1.0,0.8238029479980469,0.75390625,1.0,1.0,0.2265625,1.0,0.34375,0.2890625,0.75390625,0.75390625,1.0
dinov3_vit7b16_ft-frozen_gap,0.548828125,0.3876953125,0.3876953125,0.2890625,1.0,0.3876953125,1.0,1.0,0.6875,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,1.0,1.0,1.0,0.6072387695312499,1.0,1.0,1.0,0.2890625,0.803619384765625,0.453125,0.375,1.0,1.0,1.0
dinov3_vit7b16_logreg_cls,0.2265625,0.14599609375,0.1795654296875,0.109375,0.453125,0.14599609375,1.0,0.6875,1.0,0.0703125,0.75390625,0.453125,0.453125,0.75390625,1.0,0.5078125,0.7265625,0.453125,0.21875,0.6875,0.7265625,0.75390625,1.0,0.453125,1.0,1.0,0.0703125,1.0,0.125,0.0625,0.453125,0.453125,0.6875
dinov3_vit7b16_logreg_gap,1.0,1.0,1.0,1.0,0.453125,1.0,0.1796875,0.125,0.0703125,1.0,0.34375,0.375,0.5078125,0.2890625,0.1796875,0.453125,0.2890625,0.375,0.6875,0.2890625,0.34375,0.34375,0.11846923828124999,0.5078125,0.1796875,0.2265625,1.0,0.210113525390625,1.0,1.0,0.5078125,0.5078125,0.2890625
