,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_ft-full_cls,cinema_pretrained_ft-full_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_ft-frozen_cls,dinov3_vit7b16_ft-frozen_gap,dinov3_vit7b16_logreg_cls,dinov3_vit7b16_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_ft-full_cls,dinov3_vitb16_ft-full_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_ft-full_cls,dinov3_vits16_ft-full_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_ft-full_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,1.0,0.764,0.708,0.001,0.934,0.936,0.522,0.306,0.136,0.966,0.416,0.99,0.001,0.024,0.416,0.8,0.044,0.562,0.222,0.212,0.162,0.044,0.23,0.001,0.098,0.04,0.59,0.036,0.41,0.324,0.268,0.222,0.04
cinema_pretrained_ft-frozen_gap,0.764,1.0,0.906,0.001,0.844,0.722,0.426,0.224,0.12,0.776,0.34,0.804,0.001,0.014,0.34,0.658,0.022,0.4,0.154,0.152,0.148,0.052,0.122,0.001,0.098,0.03,0.458,0.04,0.278,0.254,0.192,0.192,0.034
cinema_pretrained_ft-full_cls,0.708,0.906,1.0,0.001,0.754,0.784,0.406,0.15,0.084,0.67,0.322,0.714,0.002,0.002,0.322,0.576,0.04,0.39,0.174,0.138,0.132,0.064,0.082,0.001,0.1,0.066,0.416,0.026,0.23,0.27,0.188,0.15,0.022
cinema_pretrained_ft-full_gap,0.001,0.001,0.001,1.0,0.001,0.001,0.001,0.006,0.006,0.001,0.001,0.001,0.35,0.046,0.001,0.001,0.036,0.001,0.01,0.004,0.002,0.012,0.001,0.408,0.002,0.012,0.001,0.016,0.001,0.001,0.001,0.004,0.012
cinema_pretrained_logreg_cls,0.934,0.844,0.754,0.001,1.0,0.976,0.498,0.304,0.128,0.894,0.376,0.934,0.001,0.02,0.376,0.756,0.054,0.52,0.218,0.196,0.184,0.052,0.2,0.001,0.136,0.042,0.558,0.03,0.392,0.34,0.266,0.236,0.048
cinema_pretrained_logreg_gap,0.936,0.722,0.784,0.001,0.976,1.0,0.522,0.306,0.17,0.886,0.43,0.946,0.001,0.016,0.43,0.758,0.046,0.514,0.192,0.204,0.174,0.078,0.158,0.001,0.136,0.062,0.53,0.058,0.372,0.326,0.258,0.246,0.046
dinov3_vit7b16_ft-frozen_cls,0.522,0.426,0.406,0.001,0.498,0.522,1.0,0.65,0.326,0.42,0.946,0.486,0.022,0.056,0.946,0.626,0.136,0.94,0.358,0.372,0.548,0.288,0.646,0.002,0.39,0.318,0.904,0.264,0.866,0.71,0.606,0.546,0.196
dinov3_vit7b16_ft-frozen_gap,0.306,0.224,0.15,0.006,0.304,0.306,0.65,1.0,0.476,0.03,0.786,0.242,0.02,0.1,0.786,0.354,0.336,0.604,0.734,0.68,0.792,0.486,0.844,0.002,0.636,0.53,0.586,0.378,0.838,0.944,0.878,0.78,0.264
dinov3_vit7b16_logreg_cls,0.136,0.12,0.084,0.006,0.128,0.17,0.326,0.476,1.0,0.058,0.452,0.076,0.098,0.296,0.452,0.156,0.614,0.332,0.864,0.898,0.786,0.802,0.778,0.004,0.976,0.8,0.306,0.71,0.448,0.558,0.726,0.804,0.552
dinov3_vit7b16_logreg_gap,0.966,0.776,0.67,0.001,0.894,0.886,0.42,0.03,0.058,1.0,0.49,0.98,0.002,0.002,0.49,0.836,0.018,0.428,0.106,0.064,0.2,0.116,0.194,0.001,0.12,0.114,0.564,0.054,0.362,0.296,0.208,0.196,0.034
dinov3_vitb16_ft-frozen_cls,0.416,0.34,0.322,0.001,0.376,0.43,0.946,0.786,0.452,0.49,1.0,0.344,0.012,0.056,1.0,0.408,0.122,0.898,0.41,0.442,0.554,0.252,0.604,0.001,0.396,0.264,0.846,0.264,0.904,0.774,0.67,0.586,0.236
dinov3_vitb16_ft-frozen_gap,0.99,0.804,0.714,0.001,0.934,0.946,0.486,0.242,0.076,0.98,0.344,1.0,0.001,0.002,0.344,0.722,0.022,0.396,0.112,0.094,0.164,0.04,0.176,0.001,0.098,0.034,0.496,0.064,0.282,0.24,0.172,0.098,0.004
dinov3_vitb16_ft-full_cls,0.001,0.001,0.002,0.35,0.001,0.001,0.022,0.02,0.098,0.002,0.012,0.001,1.0,0.398,0.012,0.002,0.188,0.028,0.068,0.096,0.052,0.112,0.05,0.074,0.07,0.132,0.012,0.166,0.014,0.01,0.016,0.052,0.198
