,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_ft-full_cls,cinema_pretrained_ft-full_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_ft-frozen_cls,dinov3_vit7b16_ft-frozen_gap,dinov3_vit7b16_logreg_cls,dinov3_vit7b16_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_ft-full_cls,dinov3_vitb16_ft-full_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_ft-full_cls,dinov3_vits16_ft-full_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_ft-full_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
dinov3_vitb16_ft-frozen_cls,0.126,0.024,0.048,0.26,0.366,0.024,0.898,0.992,0.642,0.208,1.0,0.864,0.098,0.51,0.75,0.624,0.732,0.936,0.94,0.096,0.798,0.76,0.938,0.098,0.936,0.898,0.248,0.664,0.416,0.66,0.9,0.91,0.472
dinov3_vitb16_ft-frozen_gap,0.222,0.152,0.064,0.354,0.284,0.152,0.994,0.914,0.396,0.062,0.864,1.0,0.114,0.252,0.48,0.81,0.954,1.0,0.812,0.112,0.938,0.92,0.788,0.114,0.682,0.978,0.228,0.77,0.478,0.82,1.0,0.76,0.254
dinov3_vitb16_ft-full_cls,0.022,0.001,0.001,0.032,0.758,0.001,0.044,0.07,0.254,0.002,0.098,0.114,1.0,0.674,0.288,0.048,0.034,0.08,0.278,0.688,0.038,0.034,0.092,1.0,0.106,0.044,0.012,0.014,0.038,0.074,0.074,0.226,0.668
dinov3_vitb16_ft-full_gap,0.046,0.01,0.008,0.034,0.998,0.01,0.376,0.456,0.868,0.012,0.51,0.252,0.674,1.0,0.852,0.152,0.332,0.436,0.562,0.542,0.334,0.358,0.392,0.674,0.556,0.416,0.028,0.176,0.06,0.268,0.406,0.634,1.0
dinov3_vitb16_logreg_cls,0.046,0.004,0.01,0.008,0.882,0.004,0.504,0.684,0.966,0.06,0.75,0.48,0.288,0.852,1.0,0.174,0.386,0.494,0.622,0.28,0.436,0.412,0.732,0.288,0.76,0.516,0.166,0.412,0.284,0.306,0.514,0.82,0.814
dinov3_vitb16_logreg_gap,0.328,0.228,0.112,0.416,0.15,0.228,0.77,0.718,0.284,0.258,0.624,0.81,0.048,0.152,0.174,1.0,0.896,0.754,0.582,0.046,0.87,0.894,0.612,0.048,0.51,0.778,0.418,1.0,0.706,0.992,0.786,0.522,0.136
dinov3_vitl16_ft-frozen_cls,0.47,0.156,0.092,0.486,0.216,0.156,0.906,0.806,0.35,0.192,0.732,0.954,0.034,0.332,0.386,0.896,1.0,0.906,0.616,0.024,1.0,1.0,0.696,0.034,0.678,0.864,0.346,0.9,0.566,0.888,0.908,0.704,0.328
dinov3_vitl16_ft-frozen_gap,0.44,0.136,0.074,0.338,0.274,0.136,0.976,0.95,0.42,0.07,0.936,1.0,0.08,0.436,0.494,0.754,0.906,1.0,0.822,0.076,0.888,0.886,0.794,0.08,0.77,0.994,0.33,0.802,0.534,0.764,1.0,0.828,0.424
dinov3_vitl16_logreg_cls,0.29,0.066,0.05,0.42,0.73,0.066,0.8,0.908,0.554,0.068,0.94,0.812,0.278,0.562,0.622,0.582,0.616,0.822,1.0,0.278,0.696,0.708,0.988,0.278,0.922,0.816,0.22,0.664,0.41,0.764,0.826,0.936,0.51
dinov3_vitl16_logreg_gap,0.022,0.001,0.001,0.032,0.758,0.001,0.042,0.068,0.234,0.002,0.096,0.112,0.688,0.542,0.28,0.046,0.024,0.076,0.278,1.0,0.036,0.03,0.084,0.688,0.098,0.036,0.012,0.01,0.038,0.074,0.074,0.226,0.668
dinov3_vits16_ft-frozen_cls,0.466,0.216,0.16,0.566,0.188,0.216,0.878,0.83,0.342,0.244,0.798,0.938,0.038,0.334,0.436,0.87,1.0,0.888,0.696,0.036,1.0,1.0,0.758,0.038,0.724,0.87,0.33,0.858,0.626,0.91,0.914,0.546,0.162
dinov3_vits16_ft-frozen_gap,0.35,0.214,0.156,0.556,0.188,0.214,0.876,0.81,0.374,0.266,0.76,0.92,0.034,0.358,0.412,0.894,1.0,0.886,0.708,0.03,1.0,1.0,0.69,0.034,0.51,0.738,0.214,0.886,0.568,0.868,0.924,0.54,0.156
dinov3_vits16_ft-full_cls,0.244,0.05,0.062,0.39,0.534,0.05,0.856,0.934,0.594,0.138,0.938,0.788,0.092,0.392,0.732,0.612,0.696,0.794,0.988,0.084,0.758,0.69,1.0,0.092,0.972,0.81,0.032,0.46,0.228,0.62,0.826,0.904,0.476
dinov3_vits16_ft-full_gap,0.022,0.001,0.001,0.032,0.758,0.001,0.044,0.07,0.254,0.002,0.098,0.114,1.0,0.674,0.288,0.048,0.034,0.08,0.278,0.688,0.038,0.034,0.092,1.0,0.106,0.044,0.012,0.014,0.038,0.074,0.074,0.226,0.668
dinov3_vits16_logreg_cls,0.196,0.136,0.086,0.308,0.444,0.136,0.762,0.872,0.652,0.07,0.936,0.682,0.106,0.556,0.76,0.51,0.678,0.77,0.922,0.098,0.724,0.51,0.972,0.106,1.0,0.79,0.13,0.508,0.368,0.536,0.788,1.0,0.376
dinov3_vits16_logreg_gap,0.242,0.152,0.11,0.468,0.248,0.152,1.0,0.902,0.44,0.192,0.898,0.978,0.044,0.416,0.516,0.778,0.864,0.994,0.816,0.036,0.87,0.738,0.81,0.044,0.79,1.0,0.152,0.72,0.452,0.768,0.974,0.658,0.214
sam_vit_base_ft-frozen_gap,0.85,0.784,0.62,0.876,0.104,0.784,0.258,0.212,0.012,0.87,0.248,0.228,0.012,0.028,0.166,0.418,0.346,0.33,0.22,0.012,0.33,0.214,0.032,0.012,0.13,0.152,1.0,0.274,0.69,0.454,0.244,0.092,0.026
sam_vit_base_ft-full_gap,0.524,0.232,0.116,0.63,0.288,0.232,0.81,0.684,0.3,0.296,0.664,0.77,0.014,0.176,0.412,1.0,0.9,0.802,0.664,0.01,0.858,0.886,0.46,0.014,0.508,0.72,0.274,1.0,0.67,0.996,0.768,0.426,0.14
sam_vit_base_logreg_gap,0.858,0.442,0.284,0.962,0.214,0.442,0.472,0.388,0.032,0.52,0.416,0.478,0.038,0.06,0.284,0.706,0.566,0.534,0.41,0.038,0.626,0.568,0.228,0.038,0.368,0.452,0.69,0.67,1.0,0.786,0.492,0.368,0.086
sam_vit_huge_ft-frozen_gap,0.608,0.276,0.188,0.836,0.426,0.276,0.69,0.55,0.004,0.3,0.66,0.82,0.074,0.268,0.306,0.992,0.888,0.764,0.764,0.074,0.91,0.868,0.62,0.074,0.536,0.768,0.454,0.996,0.786,1.0,0.244,0.526,0.078
sam_vit_huge_logreg_gap,0.388,0.17,0.082,0.488,0.452,0.17,1.0,0.89,0.17,0.192,0.9,1.0,0.074,0.406,0.514,0.786,0.908,1.0,0.826,0.074,0.914,0.924,0.826,0.074,0.788,0.974,0.244,0.768,0.492,0.244,1.0,0.776,0.236
sam_vit_large_ft-frozen_gap,0.262,0.176,0.108,0.4,0.756,0.176,0.712,0.852,0.62,0.124,0.91,0.76,0.226,0.634,0.82,0.522,0.704,0.828,0.936,0.226,0.546,0.54,0.904,0.226,1.0,0.658,0.092,0.426,0.368,0.526,0.776,1.0,0.69
sam_vit_large_logreg_gap,0.046,0.042,0.014,0.156,0.95,0.042,0.224,0.306,0.856,0.008,0.472,0.254,0.668,1.0,0.814,0.136,0.328,0.424,0.51,0.668,0.162,0.156,0.476,0.668,0.376,0.214,0.026,0.14,0.086,0.078,0.236,0.69,1.0
