,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_ft-full_cls,cinema_pretrained_ft-full_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_ft-frozen_cls,dinov3_vit7b16_ft-frozen_gap,dinov3_vit7b16_logreg_cls,dinov3_vit7b16_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_ft-full_cls,dinov3_vitb16_ft-full_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_ft-full_cls,dinov3_vits16_ft-full_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_ft-full_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,,"mean=-0.0620,ci95=[-0.2399,+0.1162]","mean=-0.0766,ci95=[-0.2452,+0.0915]","mean=+0.0063,ci95=[-0.1760,+0.2153]","mean=+0.2041,ci95=[-0.0030,+0.3823]","mean=-0.0620,ci95=[-0.2399,+0.1162]","mean=+0.1014,ci95=[-0.1257,+0.3256]","mean=+0.1153,ci95=[-0.1613,+0.3609]","mean=+0.1866,ci95=[-0.0492,+0.3941]","mean=-0.0482,ci95=[-0.2653,+0.1727]","mean=+0.1208,ci95=[-0.0151,+0.2708]","mean=+0.0988,ci95=[-0.0404,+0.2525]","mean=+0.2764,ci95=[+0.0641,+0.4372]","mean=+0.2069,ci95=[+0.0097,+0.3873]","mean=+0.1777,ci95=[+0.0060,+0.3408]","mean=+0.0660,ci95=[-0.0477,+0.1970]","mean=+0.0847,ci95=[-0.1502,+0.3031]","mean=+0.1040,ci95=[-0.1663,+0.3416]","mean=+0.1313,ci95=[-0.1288,+0.3595]","mean=+0.2829,ci95=[+0.0700,+0.4398]","mean=+0.0852,ci95=[-0.1356,+0.3100]","mean=+0.0855,ci95=[-0.0947,+0.2726]","mean=+0.1306,ci95=[-0.1068,+0.3437]","mean=+0.2764,ci95=[+0.0641,+0.4372]","mean=+0.1348,ci95=[-0.0785,+0.3401]","mean=+0.1027,ci95=[-0.0794,+0.2823]","mean=-0.0273,ci95=[-0.2376,+0.1725]","mean=+0.0692,ci95=[-0.1334,+0.2638]","mean=+0.0228,ci95=[-0.1604,+0.2209]","mean=+0.0640,ci95=[-0.1599,+0.2823]","mean=+0.1010,ci95=[-0.1206,+0.3109]","mean=+0.1421,ci95=[-0.1059,+0.3540]","mean=+0.2105,ci95=[+0.0076,+0.3838]"
cinema_pretrained_ft-frozen_gap,"mean=+0.0620,ci95=[-0.1162,+0.2399]",,"mean=-0.0146,ci95=[-0.1548,+0.1412]","mean=+0.0683,ci95=[-0.1482,+0.2829]","mean=+0.2661,ci95=[+0.0614,+0.4337]","mean=+0.0000,ci95=[+0.0000,+0.0000]","mean=+0.1634,ci95=[-0.0471,+0.3657]","mean=+0.1773,ci95=[-0.0889,+0.4091]","mean=+0.2486,ci95=[+0.0231,+0.4432]","mean=+0.0138,ci95=[-0.1804,+0.2193]","mean=+0.1829,ci95=[+0.0211,+0.3420]","mean=+0.1609,ci95=[-0.0526,+0.3693]","mean=+0.3384,ci95=[+0.1626,+0.4779]","mean=+0.2689,ci95=[+0.0738,+0.4562]","mean=+0.2397,ci95=[+0.0710,+0.4042]","mean=+0.1280,ci95=[-0.0678,+0.3196]","mean=+0.1467,ci95=[-0.0478,+0.3380]","mean=+0.1660,ci95=[-0.0436,+0.3698]","mean=+0.1933,ci95=[-0.0159,+0.3788]","mean=+0.3449,ci95=[+0.1688,+0.4822]","mean=+0.1472,ci95=[-0.0812,+0.3592]","mean=+0.1475,ci95=[-0.0861,+0.3496]","mean=+0.1927,ci95=[+0.0002,+0.3870]","mean=+0.3384,ci95=[+0.1626,+0.4779]","mean=+0.1968,ci95=[-0.0444,+0.4107]","mean=+0.1647,ci95=[-0.0475,+0.3625]","mean=+0.0347,ci95=[-0.1943,+0.2639]","mean=+0.1312,ci95=[-0.0910,+0.3552]","mean=+0.0848,ci95=[-0.1307,+0.3007]","mean=+0.1260,ci95=[-0.1082,+0.3315]","mean=+0.1630,ci95=[-0.0694,+0.3616]","mean=+0.2041,ci95=[-0.0916,+0.4414]","mean=+0.2725,ci95=[+0.0186,+0.4644]"
cinema_pretrained_ft-full_cls,"mean=+0.0766,ci95=[-0.0915,+0.2452]","mean=+0.0146,ci95=[-0.1412,+0.1548]",,"mean=+0.0829,ci95=[-0.1100,+0.2730]","mean=+0.2807,ci95=[+0.0864,+0.4547]","mean=+0.0146,ci95=[-0.1412,+0.1548]","mean=+0.1780,ci95=[-0.0341,+0.3910]","mean=+0.1919,ci95=[+0.0018,+0.3943]","mean=+0.2632,ci95=[+0.0662,+0.4469]","mean=+0.0284,ci95=[-0.1463,+0.2165]","mean=+0.1974,ci95=[+0.0052,+0.3765]","mean=+0.1754,ci95=[-0.0110,+0.3697]","mean=+0.3530,ci95=[+0.1821,+0.4947]","mean=+0.2835,ci95=[+0.0854,+0.4467]","mean=+0.2543,ci95=[+0.0662,+0.4323]","mean=+0.1425,ci95=[-0.0338,+0.3265]","mean=+0.1612,ci95=[-0.0228,+0.3464]","mean=+0.1805,ci95=[-0.0147,+0.3698]","mean=+0.2079,ci95=[+0.0006,+0.3999]","mean=+0.3595,ci95=[+0.1905,+0.4984]","mean=+0.1618,ci95=[-0.0606,+0.3808]","mean=+0.1621,ci95=[-0.0455,+0.3687]","mean=+0.2072,ci95=[-0.0007,+0.4086]","mean=+0.3530,ci95=[+0.1821,+0.4947]","mean=+0.2114,ci95=[-0.0232,+0.4196]","mean=+0.1792,ci95=[-0.0366,+0.3834]","mean=+0.0493,ci95=[-0.1624,+0.2579]","mean=+0.1458,ci95=[-0.0350,+0.3328]","mean=+0.0994,ci95=[-0.0826,+0.3027]","mean=+0.1406,ci95=[-0.0550,+0.3385]","mean=+0.1775,ci95=[-0.0205,+0.3703]","mean=+0.2187,ci95=[-0.0480,+0.4448]","mean=+0.2871,ci95=[+0.0789,+0.4726]"
cinema_pretrained_ft-full_gap,"mean=-0.0063,ci95=[-0.2153,+0.1760]","mean=-0.0683,ci95=[-0.2829,+0.1482]","mean=-0.0829,ci95=[-0.2730,+0.1100]",,"mean=+0.1978,ci95=[+0.0000,+0.3846]","mean=-0.0683,ci95=[-0.2829,+0.1482]","mean=+0.0951,ci95=[-0.1852,+0.3624]","mean=+0.1090,ci95=[-0.1343,+0.3516]","mean=+0.1803,ci95=[-0.0975,+0.4384]","mean=-0.0545,ci95=[-0.2564,+0.1386]","mean=+0.1145,ci95=[-0.0916,+0.3082]","mean=+0.0925,ci95=[-0.1179,+0.2957]","mean=+0.2701,ci95=[+0.0780,+0.4432]","mean=+0.2006,ci95=[+0.0121,+0.3808]","mean=+0.1714,ci95=[+0.0213,+0.3370]","mean=+0.0597,ci95=[-0.1084,+0.2277]","mean=+0.0783,ci95=[-0.1469,+0.3023]","mean=+0.0976,ci95=[-0.0821,+0.2842]","mean=+0.1250,ci95=[-0.1050,+0.3634]","mean=+0.2766,ci95=[+0.0883,+0.4442]","mean=+0.0789,ci95=[-0.1870,+0.3496]","mean=+0.0792,ci95=[-0.1886,+0.3498]","mean=+0.1243,ci95=[-0.1580,+0.3899]","mean=+0.2701,ci95=[+0.0780,+0.4432]","mean=+0.1285,ci95=[-0.1368,+0.3788]","mean=+0.0963,ci95=[-0.1793,+0.3688]","mean=-0.0336,ci95=[-0.3249,+0.2442]","mean=+0.0629,ci95=[-0.1866,+0.3059]","mean=+0.0165,ci95=[-0.2636,+0.2983]","mean=+0.0577,ci95=[-0.2052,+0.3331]","mean=+0.0947,ci95=[-0.1612,+0.3577]","mean=+0.1358,ci95=[-0.1635,+0.4043]","mean=+0.2042,ci95=[-0.0710,+0.4324]"
cinema_pretrained_logreg_cls,"mean=-0.2041,ci95=[-0.3823,+0.0030]","mean=-0.2661,ci95=[-0.4337,-0.0614]","mean=-0.2807,ci95=[-0.4547,-0.0864]","mean=-0.1978,ci95=[-0.3846,-0.0000]",,"mean=-0.2661,ci95=[-0.4337,-0.0614]","mean=-0.1027,ci95=[-0.2846,+0.0757]","mean=-0.0888,ci95=[-0.3102,+0.1716]","mean=-0.0175,ci95=[-0.2256,+0.2240]","mean=-0.2523,ci95=[-0.4201,-0.0588]","mean=-0.0833,ci95=[-0.2493,+0.0685]","mean=-0.1052,ci95=[-0.2654,+0.0455]","mean=+0.0723,ci95=[-0.0175,+0.2325]","mean=+0.0028,ci95=[-0.1986,+0.2218]","mean=-0.0264,ci95=[-0.1785,+0.0819]","mean=-0.1381,ci95=[-0.3138,+0.0397]","mean=-0.1194,ci95=[-0.2943,+0.0588]","mean=-0.1001,ci95=[-0.2706,+0.0454]","mean=-0.0728,ci95=[-0.2296,+0.0000]","mean=+0.0788,ci95=[+0.0000,+0.2326]","mean=-0.1189,ci95=[-0.2906,+0.0504]","mean=-0.1186,ci95=[-0.3019,+0.0596]","mean=-0.0735,ci95=[-0.2950,+0.1823]","mean=+0.0723,ci95=[-0.0175,+0.2325]","mean=-0.0693,ci95=[-0.2366,+0.0710]","mean=-0.1014,ci95=[-0.2824,+0.0787]","mean=-0.2314,ci95=[-0.4453,+0.0444]","mean=-0.1349,ci95=[-0.3446,+0.1122]","mean=-0.1813,ci95=[-0.4000,+0.1111]","mean=-0.1401,ci95=[-0.3626,+0.1334]","mean=-0.1031,ci95=[-0.3314,+0.1769]","mean=-0.0620,ci95=[-0.2750,+0.1729]","mean=+0.0064,ci95=[-0.1916,+0.2222]"
cinema_pretrained_logreg_gap,"mean=+0.0620,ci95=[-0.1162,+0.2399]","mean=-0.0000,ci95=[-0.0000,-0.0000]","mean=-0.0146,ci95=[-0.1548,+0.1412]","mean=+0.0683,ci95=[-0.1482,+0.2829]","mean=+0.2661,ci95=[+0.0614,+0.4337]",,"mean=+0.1634,ci95=[-0.0471,+0.3657]","mean=+0.1773,ci95=[-0.0889,+0.4091]","mean=+0.2486,ci95=[+0.0231,+0.4432]","mean=+0.0138,ci95=[-0.1804,+0.2193]","mean=+0.1829,ci95=[+0.0211,+0.3420]","mean=+0.1609,ci95=[-0.0526,+0.3693]","mean=+0.3384,ci95=[+0.1626,+0.4779]","mean=+0.2689,ci95=[+0.0738,+0.4562]","mean=+0.2397,ci95=[+0.0710,+0.4042]","mean=+0.1280,ci95=[-0.0678,+0.3196]","mean=+0.1467,ci95=[-0.0478,+0.3380]","mean=+0.1660,ci95=[-0.0436,+0.3698]","mean=+0.1933,ci95=[-0.0159,+0.3788]","mean=+0.3449,ci95=[+0.1688,+0.4822]","mean=+0.1472,ci95=[-0.0812,+0.3592]","mean=+0.1475,ci95=[-0.0861,+0.3496]","mean=+0.1927,ci95=[+0.0002,+0.3870]","mean=+0.3384,ci95=[+0.1626,+0.4779]","mean=+0.1968,ci95=[-0.0444,+0.4107]","mean=+0.1647,ci95=[-0.0475,+0.3625]","mean=+0.0347,ci95=[-0.1943,+0.2639]","mean=+0.1312,ci95=[-0.0910,+0.3552]","mean=+0.0848,ci95=[-0.1307,+0.3007]","mean=+0.1260,ci95=[-0.1082,+0.3315]","mean=+0.1630,ci95=[-0.0694,+0.3616]","mean=+0.2041,ci95=[-0.0916,+0.4414]","mean=+0.2725,ci95=[+0.0186,+0.4644]"
dinov3_vit7b16_ft-frozen_cls,"mean=-0.1014,ci95=[-0.3256,+0.1257]","mean=-0.1634,ci95=[-0.3657,+0.0471]","mean=-0.1780,ci95=[-0.3910,+0.0341]","mean=-0.0951,ci95=[-0.3624,+0.1852]","mean=+0.1027,ci95=[-0.0757,+0.2846]","mean=-0.1634,ci95=[-0.3657,+0.0471]",,"mean=+0.0139,ci95=[-0.1821,+0.2084]","mean=+0.0852,ci95=[-0.0429,+0.2383]","mean=-0.1496,ci95=[-0.3017,+0.0000]","mean=+0.0194,ci95=[-0.2209,+0.2565]","mean=-0.0026,ci95=[-0.2126,+0.1921]","mean=+0.1750,ci95=[+0.0061,+0.3367]","mean=+0.1055,ci95=[-0.1634,+0.3283]","mean=+0.0763,ci95=[-0.1399,+0.2838]","mean=-0.0355,ci95=[-0.2505,+0.1739]","mean=-0.0168,ci95=[-0.2114,+0.1940]","mean=+0.0025,ci95=[-0.1929,+0.1982]","mean=+0.0299,ci95=[-0.1258,+0.1998]","mean=+0.1815,ci95=[+0.0165,+0.3403]","mean=-0.0162,ci95=[-0.2175,+0.1909]","mean=-0.0159,ci95=[-0.2175,+0.1965]","mean=+0.0292,ci95=[-0.2088,+0.2667]","mean=+0.1750,ci95=[+0.0061,+0.3367]","mean=+0.0334,ci95=[-0.1439,+0.2255]","mean=+0.0012,ci95=[-0.1962,+0.2157]","mean=-0.1288,ci95=[-0.3459,+0.1003]","mean=-0.0322,ci95=[-0.2681,+0.2201]","mean=-0.0786,ci95=[-0.2977,+0.1391]","mean=-0.0374,ci95=[-0.2393,+0.1505]","mean=-0.0005,ci95=[-0.1935,+0.1782]","mean=+0.0407,ci95=[-0.1699,+0.2558]","mean=+0.1091,ci95=[-0.0509,+0.2833]"
dinov3_vit7b16_ft-frozen_gap,"mean=-0.1153,ci95=[-0.3609,+0.1613]","mean=-0.1773,ci95=[-0.4091,+0.0889]","mean=-0.1919,ci95=[-0.3943,-0.0018]","mean=-0.1090,ci95=[-0.3516,+0.1343]","mean=+0.0888,ci95=[-0.1716,+0.3102]","mean=-0.1773,ci95=[-0.4091,+0.0889]","mean=-0.0139,ci95=[-0.2084,+0.1821]",,"mean=+0.0713,ci95=[-0.0284,+0.2107]","mean=-0.1635,ci95=[-0.3178,-0.0198]","mean=+0.0055,ci95=[-0.2708,+0.2709]","mean=-0.0165,ci95=[-0.2484,+0.2360]","mean=+0.1611,ci95=[-0.0175,+0.3224]","mean=+0.0916,ci95=[-0.1562,+0.3104]","mean=+0.0624,ci95=[-0.1928,+0.3019]","mean=-0.0493,ci95=[-0.2757,+0.2019]","mean=-0.0306,ci95=[-0.2269,+0.1513]","mean=-0.0113,ci95=[-0.1768,+0.1569]","mean=+0.0160,ci95=[-0.2105,+0.2225]","mean=+0.1676,ci95=[-0.0118,+0.3263]","mean=-0.0301,ci95=[-0.2603,+0.1950]","mean=-0.0298,ci95=[-0.2606,+0.2076]","mean=+0.0153,ci95=[-0.2379,+0.2602]","mean=+0.1611,ci95=[-0.0175,+0.3224]","mean=+0.0195,ci95=[-0.2051,+0.2339]","mean=-0.0127,ci95=[-0.2485,+0.2232]","mean=-0.1426,ci95=[-0.3548,+0.0743]","mean=-0.0461,ci95=[-0.2553,+0.1682]","mean=-0.0925,ci95=[-0.3023,+0.1143]","mean=-0.0513,ci95=[-0.2221,+0.1243]","mean=-0.0143,ci95=[-0.1862,+0.1569]","mean=+0.0268,ci95=[-0.1720,+0.2381]","mean=+0.0952,ci95=[-0.0462,+0.2689]"
dinov3_vit7b16_logreg_cls,"mean=-0.1866,ci95=[-0.3941,+0.0492]","mean=-0.2486,ci95=[-0.4432,-0.0231]","mean=-0.2632,ci95=[-0.4469,-0.0662]","mean=-0.1803,ci95=[-0.4384,+0.0975]","mean=+0.0175,ci95=[-0.2240,+0.2256]","mean=-0.2486,ci95=[-0.4432,-0.0231]","mean=-0.0852,ci95=[-0.2383,+0.0429]","mean=-0.0713,ci95=[-0.2107,+0.0284]",,"mean=-0.2348,ci95=[-0.4026,-0.0720]","mean=-0.0657,ci95=[-0.3084,+0.1796]","mean=-0.0877,ci95=[-0.2930,+0.1274]","mean=+0.0898,ci95=[-0.0428,+0.2401]","mean=+0.0203,ci95=[-0.2201,+0.2303]","mean=-0.0089,ci95=[-0.2335,+0.2171]","mean=-0.1206,ci95=[-0.3224,+0.0832]","mean=-0.1019,ci95=[-0.2881,+0.1002]","mean=-0.0826,ci95=[-0.2722,+0.1143]","mean=-0.0553,ci95=[-0.2404,+0.1305]","mean=+0.0963,ci95=[-0.0351,+0.2518]","mean=-0.1014,ci95=[-0.3024,+0.1143]","mean=-0.1011,ci95=[-0.2970,+0.1125]","mean=-0.0559,ci95=[-0.2496,+0.1545]","mean=+0.0898,ci95=[-0.0428,+0.2401]","mean=-0.0518,ci95=[-0.2401,+0.1482]","mean=-0.0839,ci95=[-0.2708,+0.1226]","mean=-0.2139,ci95=[-0.3786,-0.0480]","mean=-0.1174,ci95=[-0.3128,+0.1064]","mean=-0.1638,ci95=[-0.3280,-0.0171]","mean=-0.1226,ci95=[-0.2655,-0.0225]","mean=-0.0856,ci95=[-0.2360,+0.0235]","mean=-0.0445,ci95=[-0.2161,+0.1390]","mean=+0.0239,ci95=[-0.0824,+0.1647]"
dinov3_vit7b16_logreg_gap,"mean=+0.0482,ci95=[-0.1727,+0.2653]","mean=-0.0138,ci95=[-0.2193,+0.1804]","mean=-0.0284,ci95=[-0.2165,+0.1463]","mean=+0.0545,ci95=[-0.1386,+0.2564]","mean=+0.2523,ci95=[+0.0588,+0.4201]","mean=-0.0138,ci95=[-0.2193,+0.1804]","mean=+0.1496,ci95=[-0.0000,+0.3017]","mean=+0.1635,ci95=[+0.0198,+0.3178]","mean=+0.2348,ci95=[+0.0720,+0.4026]",,"mean=+0.1690,ci95=[-0.0831,+0.3991]","mean=+0.1471,ci95=[+0.0000,+0.3272]","mean=+0.3246,ci95=[+0.1455,+0.4633]","mean=+0.2551,ci95=[+0.0644,+0.4272]","mean=+0.2259,ci95=[+0.0000,+0.4240]","mean=+0.1142,ci95=[-0.0626,+0.3075]","mean=+0.1329,ci95=[-0.0552,+0.3138]","mean=+0.1522,ci95=[+0.0000,+0.3064]","mean=+0.1795,ci95=[-0.0099,+0.3663]","mean=+0.3311,ci95=[+0.1516,+0.4643]","mean=+0.1334,ci95=[-0.0836,+0.3474]","mean=+0.1337,ci95=[-0.0862,+0.3493]","mean=+0.1788,ci95=[-0.0615,+0.3920]","mean=+0.3246,ci95=[+0.1455,+0.4633]","mean=+0.1830,ci95=[-0.0098,+0.3701]","mean=+0.1509,ci95=[-0.0694,+0.3599]","mean=+0.0209,ci95=[-0.2079,+0.2380]","mean=+0.1174,ci95=[-0.1090,+0.3309]","mean=+0.0710,ci95=[-0.1355,+0.2902]","mean=+0.1122,ci95=[-0.1029,+0.3228]","mean=+0.1492,ci95=[-0.0709,+0.3570]","mean=+0.1903,ci95=[-0.0399,+0.3994]","mean=+0.2587,ci95=[+0.0773,+0.4190]"
