,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_ft-full_cls,cinema_pretrained_ft-full_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_ft-frozen_cls,dinov3_vit7b16_ft-frozen_gap,dinov3_vit7b16_logreg_cls,dinov3_vit7b16_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_ft-full_cls,dinov3_vitb16_ft-full_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_ft-full_cls,dinov3_vits16_ft-full_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_ft-full_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
cinema_pretrained_ft-frozen_cls,,"mean=-0.0197,ci95=[-0.1560,+0.1212]","mean=-0.0326,ci95=[-0.2119,+0.1413]","mean=+0.3860,ci95=[+0.2387,+0.5379]","mean=-0.0068,ci95=[-0.0912,+0.0655]","mean=-0.0065,ci95=[-0.1594,+0.1437]","mean=+0.0635,ci95=[-0.1309,+0.2457]","mean=+0.0971,ci95=[-0.1064,+0.2869]","mean=+0.1395,ci95=[-0.0513,+0.3229]","mean=+0.0039,ci95=[-0.1871,+0.2086]","mean=+0.0677,ci95=[-0.0903,+0.2198]","mean=+0.0010,ci95=[-0.1490,+0.1439]","mean=+0.3049,ci95=[+0.1230,+0.4748]","mean=+0.2381,ci95=[+0.0472,+0.4335]","mean=+0.0677,ci95=[-0.0903,+0.2198]","mean=+0.0187,ci95=[-0.1212,+0.1600]","mean=+0.1846,ci95=[+0.0029,+0.3683]","mean=+0.0569,ci95=[-0.1453,+0.2712]","mean=+0.1284,ci95=[-0.0717,+0.3247]","mean=+0.1291,ci95=[-0.0726,+0.3271]","mean=+0.1174,ci95=[-0.0527,+0.2925]","mean=+0.1595,ci95=[+0.0040,+0.3215]","mean=+0.1141,ci95=[-0.0565,+0.2910]","mean=+0.4403,ci95=[+0.2719,+0.6051]","mean=+0.1359,ci95=[-0.0386,+0.3053]","mean=+0.1573,ci95=[+0.0121,+0.3114]","mean=+0.0516,ci95=[-0.1335,+0.2483]","mean=+0.1738,ci95=[+0.0077,+0.3281]","mean=+0.0792,ci95=[-0.1152,+0.2650]","mean=+0.0925,ci95=[-0.1017,+0.2823]","mean=+0.1069,ci95=[-0.0822,+0.2988]","mean=+0.1197,ci95=[-0.0724,+0.3089]","mean=+0.1880,ci95=[+0.0064,+0.3691]"
cinema_pretrained_ft-frozen_gap,"mean=+0.0197,ci95=[-0.1212,+0.1560]",,"mean=-0.0129,ci95=[-0.1921,+0.1659]","mean=+0.4057,ci95=[+0.2512,+0.5601]","mean=+0.0129,ci95=[-0.1400,+0.1572]","mean=+0.0132,ci95=[-0.0500,+0.0761]","mean=+0.0832,ci95=[-0.1205,+0.2666]","mean=+0.1168,ci95=[-0.0793,+0.3151]","mean=+0.1591,ci95=[-0.0414,+0.3589]","mean=+0.0236,ci95=[-0.1604,+0.2114]","mean=+0.0874,ci95=[-0.0851,+0.2668]","mean=+0.0207,ci95=[-0.1459,+0.1812]","mean=+0.3246,ci95=[+0.1225,+0.5040]","mean=+0.2578,ci95=[+0.0454,+0.4521]","mean=+0.0874,ci95=[-0.0851,+0.2668]","mean=+0.0384,ci95=[-0.1306,+0.2035]","mean=+0.2043,ci95=[+0.0176,+0.3843]","mean=+0.0766,ci95=[-0.1276,+0.2646]","mean=+0.1480,ci95=[-0.0567,+0.3416]","mean=+0.1488,ci95=[-0.0629,+0.3342]","mean=+0.1371,ci95=[-0.0370,+0.3224]","mean=+0.1792,ci95=[-0.0010,+0.3479]","mean=+0.1338,ci95=[-0.0434,+0.3085]","mean=+0.4600,ci95=[+0.2791,+0.6153]","mean=+0.1555,ci95=[-0.0291,+0.3430]","mean=+0.1770,ci95=[+0.0139,+0.3398]","mean=+0.0713,ci95=[-0.1300,+0.2718]","mean=+0.1935,ci95=[+0.0098,+0.3892]","mean=+0.0989,ci95=[-0.1149,+0.2949]","mean=+0.1122,ci95=[-0.0838,+0.2913]","mean=+0.1266,ci95=[-0.0641,+0.3196]","mean=+0.1394,ci95=[-0.0709,+0.3412]","mean=+0.2077,ci95=[+0.0144,+0.3970]"
cinema_pretrained_ft-full_cls,"mean=+0.0326,ci95=[-0.1413,+0.2119]","mean=+0.0129,ci95=[-0.1659,+0.1921]",,"mean=+0.4185,ci95=[+0.2860,+0.5562]","mean=+0.0258,ci95=[-0.1299,+0.1883]","mean=+0.0261,ci95=[-0.1514,+0.1998]","mean=+0.0960,ci95=[-0.1109,+0.3096]","mean=+0.1297,ci95=[-0.0499,+0.3088]","mean=+0.1720,ci95=[-0.0188,+0.3566]","mean=+0.0365,ci95=[-0.1461,+0.2267]","mean=+0.1002,ci95=[-0.0936,+0.2989]","mean=+0.0335,ci95=[-0.1444,+0.2223]","mean=+0.3375,ci95=[+0.1332,+0.5531]","mean=+0.2707,ci95=[+0.1007,+0.4497]","mean=+0.1002,ci95=[-0.0936,+0.2989]","mean=+0.0513,ci95=[-0.1193,+0.2360]","mean=+0.2172,ci95=[+0.0102,+0.4246]","mean=+0.0894,ci95=[-0.1097,+0.2855]","mean=+0.1609,ci95=[-0.0612,+0.3866]","mean=+0.1616,ci95=[-0.0550,+0.3782]","mean=+0.1499,ci95=[-0.0469,+0.3391]","mean=+0.1921,ci95=[-0.0142,+0.3747]","mean=+0.1467,ci95=[-0.0206,+0.3264]","mean=+0.4728,ci95=[+0.3189,+0.6362]","mean=+0.1684,ci95=[-0.0247,+0.3616]","mean=+0.1899,ci95=[-0.0129,+0.3663]","mean=+0.0842,ci95=[-0.1055,+0.2690]","mean=+0.2063,ci95=[+0.0269,+0.3812]","mean=+0.1118,ci95=[-0.0831,+0.2981]","mean=+0.1250,ci95=[-0.0889,+0.3404]","mean=+0.1395,ci95=[-0.0679,+0.3491]","mean=+0.1523,ci95=[-0.0566,+0.3550]","mean=+0.2205,ci95=[+0.0370,+0.3986]"
cinema_pretrained_ft-full_gap,"mean=-0.3860,ci95=[-0.5379,-0.2387]","mean=-0.4057,ci95=[-0.5601,-0.2512]","mean=-0.4185,ci95=[-0.5562,-0.2860]",,"mean=-0.3927,ci95=[-0.5412,-0.2435]","mean=-0.3924,ci95=[-0.5556,-0.2405]","mean=-0.3225,ci95=[-0.5014,-0.1346]","mean=-0.2888,ci95=[-0.4482,-0.1073]","mean=-0.2465,ci95=[-0.4295,-0.0564]","mean=-0.3820,ci95=[-0.5397,-0.2145]","mean=-0.3183,ci95=[-0.4968,-0.1362]","mean=-0.3850,ci95=[-0.5476,-0.2226]","mean=-0.0811,ci95=[-0.2561,+0.0931]","mean=-0.1478,ci95=[-0.2935,-0.0021]","mean=-0.3183,ci95=[-0.4968,-0.1362]","mean=-0.3673,ci95=[-0.5261,-0.2044]","mean=-0.2013,ci95=[-0.3829,-0.0131]","mean=-0.3291,ci95=[-0.4930,-0.1520]","mean=-0.2576,ci95=[-0.4563,-0.0636]","mean=-0.2569,ci95=[-0.4293,-0.0787]","mean=-0.2686,ci95=[-0.4604,-0.0907]","mean=-0.2265,ci95=[-0.4170,-0.0486]","mean=-0.2719,ci95=[-0.4326,-0.1105]","mean=+0.0543,ci95=[-0.0782,+0.1723]","mean=-0.2501,ci95=[-0.4355,-0.0776]","mean=-0.2287,ci95=[-0.4130,-0.0589]","mean=-0.3343,ci95=[-0.5174,-0.1406]","mean=-0.2122,ci95=[-0.3803,-0.0545]","mean=-0.3067,ci95=[-0.4865,-0.1275]","mean=-0.2935,ci95=[-0.4631,-0.1173]","mean=-0.2790,ci95=[-0.4472,-0.1015]","mean=-0.2662,ci95=[-0.4499,-0.0904]","mean=-0.1980,ci95=[-0.3699,-0.0366]"
cinema_pretrained_logreg_cls,"mean=+0.0068,ci95=[-0.0655,+0.0912]","mean=-0.0129,ci95=[-0.1572,+0.1400]","mean=-0.0258,ci95=[-0.1883,+0.1299]","mean=+0.3927,ci95=[+0.2435,+0.5412]",,"mean=+0.0003,ci95=[-0.1388,+0.1371]","mean=+0.0702,ci95=[-0.1151,+0.2611]","mean=+0.1039,ci95=[-0.0935,+0.3054]","mean=+0.1462,ci95=[-0.0485,+0.3284]","mean=+0.0107,ci95=[-0.1753,+0.2007]","mean=+0.0744,ci95=[-0.0911,+0.2377]","mean=+0.0077,ci95=[-0.1490,+0.1708]","mean=+0.3117,ci95=[+0.1343,+0.4842]","mean=+0.2449,ci95=[+0.0519,+0.4421]","mean=+0.0744,ci95=[-0.0911,+0.2377]","mean=+0.0255,ci95=[-0.1299,+0.1733]","mean=+0.1914,ci95=[-0.0025,+0.3777]","mean=+0.0636,ci95=[-0.1479,+0.2730]","mean=+0.1351,ci95=[-0.0738,+0.3447]","mean=+0.1358,ci95=[-0.0756,+0.3306]","mean=+0.1241,ci95=[-0.0626,+0.3150]","mean=+0.1663,ci95=[-0.0014,+0.3414]","mean=+0.1209,ci95=[-0.0632,+0.3032]","mean=+0.4470,ci95=[+0.2881,+0.6117]","mean=+0.1426,ci95=[-0.0378,+0.3280]","mean=+0.1641,ci95=[+0.0073,+0.3365]","mean=+0.0584,ci95=[-0.1391,+0.2596]","mean=+0.1805,ci95=[+0.0105,+0.3288]","mean=+0.0860,ci95=[-0.1136,+0.2873]","mean=+0.0992,ci95=[-0.1028,+0.2981]","mean=+0.1137,ci95=[-0.0748,+0.3133]","mean=+0.1265,ci95=[-0.0794,+0.3341]","mean=+0.1947,ci95=[+0.0037,+0.3838]"
cinema_pretrained_logreg_gap,"mean=+0.0065,ci95=[-0.1437,+0.1594]","mean=-0.0132,ci95=[-0.0761,+0.0500]","mean=-0.0261,ci95=[-0.1998,+0.1514]","mean=+0.3924,ci95=[+0.2405,+0.5556]","mean=-0.0003,ci95=[-0.1371,+0.1388]",,"mean=+0.0699,ci95=[-0.1430,+0.2614]","mean=+0.1036,ci95=[-0.0964,+0.3068]","mean=+0.1459,ci95=[-0.0520,+0.3434]","mean=+0.0104,ci95=[-0.1824,+0.1916]","mean=+0.0741,ci95=[-0.0958,+0.2615]","mean=+0.0075,ci95=[-0.1552,+0.1705]","mean=+0.3114,ci95=[+0.1204,+0.4915]","mean=+0.2446,ci95=[+0.0410,+0.4298]","mean=+0.0741,ci95=[-0.0958,+0.2615]","mean=+0.0252,ci95=[-0.1401,+0.1911]","mean=+0.1911,ci95=[+0.0047,+0.3783]","mean=+0.0634,ci95=[-0.1369,+0.2587]","mean=+0.1348,ci95=[-0.0816,+0.3388]","mean=+0.1356,ci95=[-0.0758,+0.3272]","mean=+0.1238,ci95=[-0.0509,+0.3037]","mean=+0.1660,ci95=[-0.0145,+0.3483]","mean=+0.1206,ci95=[-0.0503,+0.2969]","mean=+0.4468,ci95=[+0.2766,+0.5918]","mean=+0.1423,ci95=[-0.0389,+0.3308]","mean=+0.1638,ci95=[-0.0051,+0.3332]","mean=+0.0581,ci95=[-0.1454,+0.2715]","mean=+0.1802,ci95=[-0.0017,+0.3820]","mean=+0.0857,ci95=[-0.1342,+0.2950]","mean=+0.0990,ci95=[-0.0972,+0.2930]","mean=+0.1134,ci95=[-0.0794,+0.3135]","mean=+0.1262,ci95=[-0.0761,+0.3417]","mean=+0.1945,ci95=[+0.0046,+0.3904]"
dinov3_vit7b16_ft-frozen_cls,"mean=-0.0635,ci95=[-0.2457,+0.1309]","mean=-0.0832,ci95=[-0.2666,+0.1205]","mean=-0.0960,ci95=[-0.3096,+0.1109]","mean=+0.3225,ci95=[+0.1346,+0.5014]","mean=-0.0702,ci95=[-0.2611,+0.1151]","mean=-0.0699,ci95=[-0.2614,+0.1430]",,"mean=+0.0337,ci95=[-0.1190,+0.1914]","mean=+0.0760,ci95=[-0.0745,+0.2224]","mean=-0.0595,ci95=[-0.2060,+0.0850]","mean=+0.0042,ci95=[-0.1700,+0.2032]","mean=-0.0625,ci95=[-0.2372,+0.1076]","mean=+0.2414,ci95=[+0.0666,+0.4177]","mean=+0.1747,ci95=[-0.0035,+0.3451]","mean=+0.0042,ci95=[-0.1700,+0.2032]","mean=-0.0448,ci95=[-0.2313,+0.1236]","mean=+0.1212,ci95=[-0.0430,+0.2873]","mean=-0.0066,ci95=[-0.1770,+0.1635]","mean=+0.0649,ci95=[-0.0977,+0.2089]","mean=+0.0656,ci95=[-0.0883,+0.2103]","mean=+0.0539,ci95=[-0.1192,+0.2297]","mean=+0.0960,ci95=[-0.0915,+0.2778]","mean=+0.0506,ci95=[-0.1550,+0.2612]","mean=+0.3768,ci95=[+0.1868,+0.5706]","mean=+0.0724,ci95=[-0.0898,+0.2473]","mean=+0.0938,ci95=[-0.0995,+0.2937]","mean=-0.0118,ci95=[-0.1961,+0.1867]","mean=+0.1103,ci95=[-0.0654,+0.3112]","mean=+0.0158,ci95=[-0.1851,+0.2129]","mean=+0.0290,ci95=[-0.1515,+0.1970]","mean=+0.0435,ci95=[-0.1311,+0.2165]","mean=+0.0563,ci95=[-0.1376,+0.2465]","mean=+0.1245,ci95=[-0.0606,+0.3138]"
dinov3_vit7b16_ft-frozen_gap,"mean=-0.0971,ci95=[-0.2869,+0.1064]","mean=-0.1168,ci95=[-0.3151,+0.0793]","mean=-0.1297,ci95=[-0.3088,+0.0499]","mean=+0.2888,ci95=[+0.1073,+0.4482]","mean=-0.1039,ci95=[-0.3054,+0.0935]","mean=-0.1036,ci95=[-0.3068,+0.0964]","mean=-0.0337,ci95=[-0.1914,+0.1190]",,"mean=+0.0423,ci95=[-0.0708,+0.1603]","mean=-0.0932,ci95=[-0.1898,-0.0078]","mean=-0.0295,ci95=[-0.2167,+0.1593]","mean=-0.0962,ci95=[-0.2574,+0.0627]","mean=+0.2078,ci95=[+0.0307,+0.3720]","mean=+0.1410,ci95=[-0.0277,+0.3028]","mean=-0.0295,ci95=[-0.2167,+0.1593]","mean=-0.0784,ci95=[-0.2480,+0.0896]","mean=+0.0875,ci95=[-0.0821,+0.2531]","mean=-0.0403,ci95=[-0.1802,+0.1108]","mean=+0.0312,ci95=[-0.1404,+0.1923]","mean=+0.0320,ci95=[-0.1039,+0.1781]","mean=+0.0202,ci95=[-0.1407,+0.1844]","mean=+0.0624,ci95=[-0.1166,+0.2343]","mean=+0.0170,ci95=[-0.1513,+0.1861]","mean=+0.3432,ci95=[+0.1568,+0.5118]","mean=+0.0387,ci95=[-0.1141,+0.1989]","mean=+0.0602,ci95=[-0.1151,+0.2292]","mean=-0.0455,ci95=[-0.2010,+0.1101]","mean=+0.0766,ci95=[-0.0895,+0.2369]","mean=-0.0179,ci95=[-0.1757,+0.1416]","mean=-0.0047,ci95=[-0.1771,+0.1594]","mean=+0.0098,ci95=[-0.1735,+0.1818]","mean=+0.0226,ci95=[-0.1446,+0.1875]","mean=+0.0908,ci95=[-0.0838,+0.2591]"
dinov3_vit7b16_logreg_cls,"mean=-0.1395,ci95=[-0.3229,+0.0513]","mean=-0.1591,ci95=[-0.3589,+0.0414]","mean=-0.1720,ci95=[-0.3566,+0.0188]","mean=+0.2465,ci95=[+0.0564,+0.4295]","mean=-0.1462,ci95=[-0.3284,+0.0485]","mean=-0.1459,ci95=[-0.3434,+0.0520]","mean=-0.0760,ci95=[-0.2224,+0.0745]","mean=-0.0423,ci95=[-0.1603,+0.0708]",,"mean=-0.1355,ci95=[-0.2836,+0.0055]","mean=-0.0718,ci95=[-0.2448,+0.1051]","mean=-0.1385,ci95=[-0.2960,+0.0142]","mean=+0.1655,ci95=[-0.0296,+0.3462]","mean=+0.0987,ci95=[-0.0901,+0.2777]","mean=-0.0718,ci95=[-0.2448,+0.1051]","mean=-0.1208,ci95=[-0.2767,+0.0382]","mean=+0.0452,ci95=[-0.1216,+0.2180]","mean=-0.0826,ci95=[-0.2409,+0.0795]","mean=-0.0111,ci95=[-0.1547,+0.1454]","mean=-0.0104,ci95=[-0.1495,+0.1355]","mean=-0.0221,ci95=[-0.1830,+0.1397]","mean=+0.0200,ci95=[-0.1453,+0.1817]","mean=-0.0253,ci95=[-0.1967,+0.1345]","mean=+0.3008,ci95=[+0.1142,+0.4767]","mean=-0.0036,ci95=[-0.1570,+0.1523]","mean=+0.0178,ci95=[-0.1580,+0.1764]","mean=-0.0878,ci95=[-0.2422,+0.0819]","mean=+0.0343,ci95=[-0.1520,+0.2193]","mean=-0.0602,ci95=[-0.2109,+0.0935]","mean=-0.0470,ci95=[-0.2141,+0.1121]","mean=-0.0325,ci95=[-0.2007,+0.1264]","mean=-0.0197,ci95=[-0.1770,+0.1407]","mean=+0.0485,ci95=[-0.1095,+0.2103]"
dinov3_vit7b16_logreg_gap,"mean=-0.0039,ci95=[-0.2086,+0.1871]","mean=-0.0236,ci95=[-0.2114,+0.1604]","mean=-0.0365,ci95=[-0.2267,+0.1461]","mean=+0.3820,ci95=[+0.2145,+0.5397]","mean=-0.0107,ci95=[-0.2007,+0.1753]","mean=-0.0104,ci95=[-0.1916,+0.1824]","mean=+0.0595,ci95=[-0.0850,+0.2060]","mean=+0.0932,ci95=[+0.0078,+0.1898]","mean=+0.1355,ci95=[-0.0055,+0.2836]",,"mean=+0.0637,ci95=[-0.1022,+0.2335]","mean=-0.0030,ci95=[-0.1321,+0.1336]","mean=+0.3010,ci95=[+0.1261,+0.4637]","mean=+0.2342,ci95=[+0.0881,+0.3780]","mean=+0.0637,ci95=[-0.1022,+0.2335]","mean=+0.0148,ci95=[-0.1345,+0.1555]","mean=+0.1807,ci95=[+0.0292,+0.3264]","mean=+0.0529,ci95=[-0.0773,+0.1851]","mean=+0.1244,ci95=[-0.0298,+0.2665]","mean=+0.1251,ci95=[-0.0177,+0.2639]","mean=+0.1134,ci95=[-0.0559,+0.2863]","mean=+0.1556,ci95=[-0.0337,+0.3378]","mean=+0.1102,ci95=[-0.0602,+0.2837]","mean=+0.4363,ci95=[+0.2664,+0.5939]","mean=+0.1319,ci95=[-0.0350,+0.2904]","mean=+0.1534,ci95=[-0.0267,+0.3279]","mean=+0.0477,ci95=[-0.1137,+0.1994]","mean=+0.1698,ci95=[-0.0028,+0.3416]","mean=+0.0753,ci95=[-0.0946,+0.2255]","mean=+0.0885,ci95=[-0.0842,+0.2549]","mean=+0.1030,ci95=[-0.0776,+0.2672]","mean=+0.1158,ci95=[-0.0657,+0.2842]","mean=+0.1840,ci95=[+0.0114,+0.3444]"
