Backbone,Model,Embed Dim,Decoder,Probe Layers,Trainable Params,BG Dice,LV Dice,MYO Dice,RV Dice,Macro Dice,Best Val Dice,Best Epoch
CineMA,cinema_pretrained,768,Linear,0,4612,0.9829,0.7614,0.5766,0.6421,0.6600,0.6918,41
CineMA,cinema_pretrained,768,Conv,0,1033220,0.9833,0.7949,0.6102,0.6836,0.6962,0.7277,59
CineMA,cinema_pretrained,768,UNETR,"3,6,9,11",39083302,0.9925,0.9086,0.7999,0.8562,0.8549,0.8684,31
Dino,dinov3_vitb16,768,Linear,11,4612,0.9880,0.8362,0.6644,0.7509,0.7505,0.7599,32
Dino,dinov3_vitl16,1024,Linear,23,6148,0.9882,0.8419,0.6622,0.7547,0.7529,0.7733,66
Dino,dinov3_vits16,384,Linear,11,2308,0.9872,0.8221,0.6376,0.7240,0.7279,0.7425,31
Dino,dinov3_vitb16,768,Conv,"3,6,9,11",3687428,0.9923,0.8960,0.7816,0.8406,0.8394,0.8540,71
Dino,dinov3_vitl16,1024,Conv,"5,11,17,23",4867076,0.9924,0.9006,0.7858,0.8446,0.8437,0.8633,75
Dino,dinov3_vits16,384,Conv,"3,6,9,11",1917956,0.9918,0.8975,0.7770,0.8340,0.8362,0.8494,56
Dino,dinov3_vitb16,768,UNETR,"3,6,9,11",41338788,0.9915,0.8979,0.7765,0.8365,0.8369,0.8526,13
Dino,dinov3_vitl16,1024,UNETR,"5,11,17,23",48220068,0.9919,0.8946,0.7765,0.8470,0.8393,0.8617,49
Dino,dinov3_vits16,384,UNETR,"3,6,9,11",31016868,0.9914,0.8992,0.7765,0.8382,0.8380,0.8542,25
SAM2,sam2_1_hiera_base_plus,448,Linear,21,2692,0.9870,0.8273,0.6496,0.7156,0.7308,0.7605,41
SAM2,sam2_1_hiera_large,576,Linear,44,3460,0.9882,0.8395,0.6787,0.7487,0.7556,0.7727,57
SAM2,sam2_1_hiera_small,384,Linear,14,2308,0.9874,0.8397,0.6586,0.7252,0.7411,0.7607,41
SAM2,sam2_1_hiera_base_plus,448,Conv,"6,11,16,21",2212868,0.9901,0.8878,0.7545,0.8054,0.8159,0.8311,47
SAM2,sam2_1_hiera_large,576,Conv,"9,21,33,44",2802692,0.9910,0.8909,0.7692,0.8203,0.8268,0.8395,47
SAM2,sam2_1_hiera_small,384,Conv,"4,7,11,14",1917956,0.9904,0.8930,0.7587,0.8100,0.8206,0.8301,69
SAM2,sam2_1_hiera_base_plus,448,UNETR,"6,11,16,21",32737188,0.9913,0.8942,0.7704,0.8312,0.8319,0.8562,42
SAM2,sam2_1_hiera_large,576,UNETR,"9,21,33,44",36177828,0.9915,0.8988,0.7713,0.8427,0.8376,0.8569,34
SAM2,sam2_1_hiera_small,384,UNETR,"4,7,11,14",31016868,0.9911,0.8973,0.7584,0.8343,0.8300,0.8537,48
