Backbone,Model,Embed Dim,Decoder,Probe Layers,Trainable Params,BG Dice,LV Dice,MYO Dice,RV Dice,Macro Dice,Best Val Dice,Best Epoch
CineMA,cinema_pretrained,768,Linear,0,4612,0.9813,0.8229,0.6341,0.7588,0.7386,0.7595,41
CineMA,cinema_pretrained,768,Conv,0,1033220,0.9836,0.8620,0.6940,0.7862,0.7807,0.7904,82
CineMA,cinema_pretrained,768,UNETR,"3,6,9,11",39083302,0.9923,0.9445,0.8593,0.8978,0.9005,0.9055,47
Dino,dinov3_vitb16,768,Linear,11,4612,0.9844,0.8701,0.7067,0.7708,0.7825,0.7984,48
Dino,dinov3_vitl16,1024,Linear,23,6148,0.9848,0.8728,0.7023,0.7737,0.7829,0.8053,79
Dino,dinov3_vits16,384,Linear,11,2308,0.9824,0.8547,0.6768,0.7411,0.7575,0.7722,47
Dino,dinov3_vitb16,768,Conv,"3,6,9,11",3687428,0.9902,0.9219,0.8217,0.8683,0.8706,0.8852,13
Dino,dinov3_vitl16,1024,Conv,"5,11,17,23",4867076,0.9908,0.9290,0.8305,0.8710,0.8768,0.8902,42
Dino,dinov3_vits16,384,Conv,"3,6,9,11",1917956,0.9902,0.9227,0.8171,0.8663,0.8687,0.8769,42
Dino,dinov3_vitb16,768,UNETR,"3,6,9,11",41338788,0.9902,0.9292,0.8257,0.8785,0.8778,0.8921,44
Dino,dinov3_vitl16,1024,UNETR,"5,11,17,23",48220068,0.9900,0.9350,0.8241,0.8724,0.8772,0.8917,35
Dino,dinov3_vits16,384,UNETR,"3,6,9,11",31016868,0.9899,0.9318,0.8194,0.8708,0.8740,0.8857,39
SAM2,sam2_1_hiera_base_plus,448,Linear,21,2692,0.9845,0.8730,0.7042,0.7827,0.7866,0.8057,61
SAM2,sam2_1_hiera_large,576,Linear,44,3460,0.9855,0.8822,0.7290,0.7953,0.8022,0.8189,89
SAM2,sam2_1_hiera_small,384,Linear,14,2308,0.9845,0.8808,0.7184,0.7790,0.7927,0.8130,76
SAM2,sam2_1_hiera_base_plus,448,Conv,"6,11,16,21",2212868,0.9893,0.9221,0.8030,0.8509,0.8587,0.8732,41
SAM2,sam2_1_hiera_large,576,Conv,"9,21,33,44",2802692,0.9894,0.9258,0.8140,0.8551,0.8650,0.8785,52
SAM2,sam2_1_hiera_small,384,Conv,"4,7,11,14",1917956,0.9885,0.9211,0.8040,0.8457,0.8569,0.8748,59
SAM2,sam2_1_hiera_base_plus,448,UNETR,"6,11,16,21",32737188,0.9887,0.9264,0.7966,0.8673,0.8634,0.8818,38
SAM2,sam2_1_hiera_large,576,UNETR,"9,21,33,44",36177828,0.9901,0.9306,0.8197,0.8749,0.8751,0.8836,44
SAM2,sam2_1_hiera_small,384,UNETR,"4,7,11,14",31016868,0.9893,0.9300,0.8074,0.8664,0.8679,0.8820,55
